,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,17charg~5charg,0.5,1.01,0.06,1.48,0.8
1,17charg~14,0.0,-1.87,0.05,-2.62,0.8
2,17charg~17neu,0.0,-2.94,0.05,-3.0,0.43
3,17charg~18,-0.81,-2.96,0.04,-2.62,0.73
4,17neu~14,0.0,0.33,0.02,0.38,0.62
5,17neu~18,-0.81,0.49,0.02,0.38,0.62
6,18~14,0.81,-0.17,0.02,-0.0,0.73
7,18~6,2.41,4.4,0.03,4.47,0.69
8,5charg~14,-0.5,-4.27,0.06,-4.1,0.8
9,5neu~14,-0.5,-2.54,0.04,-2.4,0.8
10,5neu~5charg,0.0,1.95,0.03,1.7,0.8
11,5neu~6,1.1,1.97,0.04,2.08,0.58
12,6~14,-1.6,-4.69,0.04,-4.47,0.74
13,6~5charg,-1.1,-0.33,0.06,-0.37,0.74
