,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,19charg~19neu,0.0,-0.28,0.04,-0.46,1.08
1,19charg~27,1.89,-0.4,0.04,-0.01,1.08
2,19charg~28charg,1.1,-1.31,0.02,-1.35,0.9
3,19charg~29,1.89,-0.65,0.04,-0.82,1.05
4,19neu~27,1.89,0.42,0.03,0.44,0.94
5,28charg~27,0.79,1.53,0.04,1.33,1.08
6,28neu~19neu,-1.1,-1.11,0.05,-0.31,1.47
7,28neu~27,0.79,0.1,0.03,0.13,0.66
8,28neu~28charg,0.0,-0.35,0.04,-1.2,1.47
9,28neu~29,0.79,-0.7,0.03,-0.68,0.9
10,29~19neu,-1.89,0.97,0.03,0.37,1.47
11,29~27,0.0,1.05,0.04,0.81,0.52
12,29~28charg,-0.79,-1.21,0.04,-0.52,1.47
