,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,ejm_52charg~ejm_46,-3.93,-3.98,0.03,-3.88,0.16
1,ejm_47~ejm_52charg,2.3,2.32,0.03,2.4,0.16
2,ejm_52neu~ejm_52charg,0.0,1.78,0.03,1.81,0.12
3,ejm_47~ejm_46,-1.63,-1.39,0.02,-1.48,0.16
4,ejm_47~ejm_52neu,2.3,0.57,0.02,0.59,0.12
5,ejm_52neu~ejm_46,-3.93,-2.06,0.02,-2.07,0.08
6,jmc_31~ejm_46,-0.5,-0.1,0.03,0.14,0.28
7,jmc_31~jmc_32neu,-0.74,-0.15,0.02,-0.23,0.27
8,jmc_32charg~ejm_46,0.24,0.82,0.04,0.73,0.28
9,jmc_32charg~jmc_31,0.74,0.44,0.04,0.6,0.28
10,jmc_32charg~jmc_32neu,0.0,0.43,0.04,0.36,0.17
11,jmc_32neu~ejm_46,0.24,0.52,0.03,0.37,0.27
