,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,ejm_47~ejm_46,-1.63,-1.87,0.02,-2.54,0.89
1,ejm_47~ejm_52charg,2.3,0.92,0.03,1.5,0.69
2,ejm_47~ejm_52neu,2.3,-1.41,0.03,-1.32,0.89
3,ejm_52charg~ejm_46,-3.93,-3.91,0.03,-4.04,0.94
4,ejm_52neu~ejm_46,-3.93,-2.01,0.02,-1.22,0.94
5,ejm_52neu~ejm_52charg,0.0,3.52,0.04,2.82,0.94
6,jmc_31~ejm_46,-0.5,-0.49,0.02,-0.36,0.29
7,jmc_31~jmc_32neu,-0.74,-1.38,0.02,-1.24,0.32
8,jmc_32charg~ejm_46,0.24,1.18,0.04,1.06,0.29
9,jmc_32charg~jmc_31,0.74,1.16,0.04,1.43,0.32
10,jmc_32charg~jmc_32neu,0.0,0.33,0.04,0.18,0.32
11,jmc_32neu~ejm_46,0.24,0.88,0.03,0.87,0.02
