,lig,EXP,Pred dG,Pred dG err
0,1,-0.99,0.37,0.67
1,6,-1.79,-1.72,0.79
2,9S,1.81,-0.72,0.79
3,5,0.91,-1.78,0.89
4,7,0.91,-1.46,0.89
5,10,-0.29,0.22,0.82
6,8,-0.59,-0.44,0.77
7,3,-0.89,1.36,0.78
8,9R,0.71,2.86,0.8
9,4,0.41,-0.1,0.71
10,2,-0.19,1.43,0.76
11,11,-1.24,-0.77,0.28
12,13,-1.24,-2.15,0.24
13,21,1.46,1.75,0.26
14,12,-0.54,0.39,0.25
15,14,-1.04,-2.55,0.25
16,15,-0.74,-0.86,0.27
17,23,1.36,3.28,0.25
18,16,-0.34,-2.07,0.27
19,20,-0.94,1.56,0.23
20,19,-1.14,0.08,0.27
21,22,1.26,0.71,0.28
22,24,3.16,0.66,0.23
