,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,10~8,-0.3,-1.39,0.06,-0.63,1.66
1,1~6,-0.8,-2.72,0.06,-1.97,1.69
2,1~8,0.4,0.06,0.06,-0.7,1.66
3,1~9S,2.8,0.02,0.06,-0.73,1.69
4,3~10,0.6,-1.74,0.06,-0.98,1.66
5,3~9R,1.6,1.59,0.06,1.51,1.24
6,4~1,-1.4,1.06,0.02,0.3,1.66
7,4~2,-0.6,1.26,0.04,1.34,1.24
8,4~3,-1.3,0.54,0.04,1.21,1.66
9,5~6,-2.7,0.57,0.06,-0.18,1.69
10,7~5,0.0,0.46,0.04,-0.29,1.69
11,7~9S,0.9,0.0,0.04,0.75,1.69
12,9R~2,-0.9,-1.29,0.06,-1.37,1.24
13,11~13,0.0,-0.92,0.02,-1.26,0.68
14,11~21,2.7,2.19,0.03,2.53,0.68
15,12~13,-0.7,-2.49,0.03,-2.39,0.57
16,12~14,-0.5,-2.63,0.03,-2.74,0.57
17,12~15,-0.2,-1.17,0.02,-1.16,0.48
18,13~23,2.6,5.29,0.03,5.19,0.62
19,15~14,-0.3,-1.59,0.03,-1.58,0.48
20,16~20,-0.6,3.43,0.04,3.28,0.62
21,19~13,-0.1,-2.28,0.03,-2.06,0.68
22,20~14,-0.1,-3.88,0.03,-3.78,0.57
23,20~19,-0.2,-1.59,0.02,-1.37,0.68
24,21~20,-2.4,-0.77,0.03,-0.37,0.68
25,21~23,-0.1,1.45,0.03,1.39,0.41
26,22~16,-1.6,-2.53,0.04,-2.68,0.62
27,22~23,0.1,2.21,0.03,2.36,0.62
28,24~13,-4.4,-2.88,0.03,-2.95,0.42
29,24~20,-4.1,0.41,0.03,0.48,0.42
