,lig,EXP,Pred dG,Pred dG err
0,13,-5.85,-9.84,0.38
1,15,-7.51,-5.64,0.38
2,23708_cys,-9.69,-7.57,0.38
3,19939_cys,-11.59,-12.57,0.11
4,19940,-12.24,-11.86,0.11
5,20315,-10.94,-10.34,0.11
6,23703_cys,-11.09,-10.7,0.09
7,23863,-11.18,-11.22,0.08
8,23864,-11.42,-11.71,0.09
9,23882,-10.88,-10.94,0.08
10,17353_cys,-11.09,-10.78,0.09
11,19971,-10.34,-9.6,0.09
12,19967,-10.53,-11.58,0.09
13,19997,-10.77,-10.0,0.07
14,19934_cys,-10.73,-10.1,0.07
15,19998,-8.94,-10.33,0.07
16,17374_cys,-12.5,-12.34,0.0
17,17509,-11.38,-11.54,0.0
18,23704_cys,-11.29,-11.08,0.0
19,23873,-10.83,-11.04,0.0
