,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,17353_cys~19971,0.75,1.11,0.02,1.03,0.13
1,19967~17353_cys,-0.56,0.42,0.04,0.34,0.13
2,19967~19971,0.19,1.3,0.04,1.38,0.13
3,17374_cys~17509,1.12,0.96,0.01,0.96,0.0
4,23703_cys~23863,-0.09,-0.39,0.02,-0.41,0.15
5,23703_cys~23864,-0.33,-0.79,0.02,-0.84,0.15
6,23864~23863,0.24,0.36,0.02,0.43,0.15
7,23882~23703_cys,-0.21,0.21,0.07,0.13,0.15
8,23882~23863,-0.3,-0.24,0.07,-0.28,0.14
9,23882~23864,-0.54,-0.84,0.07,-0.72,0.15
10,23704_cys~23873,0.46,0.25,0.07,0.25,0.0
11,19939_cys~19940,-0.65,0.16,0.03,0.25,0.16
12,20315~19939_cys,-0.65,-1.8,0.03,-1.71,0.16
13,20315~19940,-1.3,-1.36,0.03,-1.45,0.16
14,13~15,-1.66,1.94,0.06,2.25,0.54
15,13~23708_cys,-3.84,0.55,0.08,0.24,0.54
16,23708_cys~15,2.18,2.33,0.05,2.02,0.54
17,19997~19934_cys,0.04,-0.0,0.02,-0.05,0.09
18,19997~19998,1.83,0.34,0.02,0.39,0.09
19,19998~19934_cys,-1.79,-0.5,0.02,-0.45,0.09
