,lig,EXP,Pred dG,Pred dG err
0,20524_2j95_cys,-11.42,-9.58,0.41
1,21087,-11.83,-10.21,0.41
2,21083,-6.53,-8.7,0.39
3,21084,-7.47,-8.69,0.44
4,21085,-8.05,-8.06,0.35
5,21086,-11.29,-11.35,0.33
6,8b,-8.1,-9.65,0.31
7,8a,-9.41,-10.02,0.29
8,8c,-7.78,-8.77,0.27
9,8f,-9.73,-9.12,0.24
10,8d,-7.66,-9.09,0.27
11,8e,-11.13,-10.12,0.29
12,16352_1e,-10.63,-9.56,0.25
13,21031_1p,-8.3,-7.72,0.25
14,1s,-9.58,-9.08,0.22
15,21081_1k,-7.53,-7.74,0.19
16,21027_1q,-7.31,-8.6,0.2
17,1t,-9.2,-9.87,0.21
18,21028_1r,-9.45,-9.63,0.2
19,21030_1o,-8.9,-8.53,0.24
20,16353_1d,-9.96,-8.96,0.22
21,21082_1l,-7.39,-7.79,0.24
22,21080_1j,-9.23,-10.01,0.22
23,5a,-11.2,-10.3,0.17
24,5c,-11.58,-10.26,0.15
25,5d,-11.4,-11.26,0.15
26,5b,-7.34,-6.52,0.17
27,5e,-8.24,-9.04,0.19
28,5f,-11.53,-11.4,0.16
29,5i,-10.76,-9.47,0.16
30,5g,-10.13,-9.83,0.15
31,5h,-12.73,-14.82,0.17
32,5k,-11.29,-13.3,0.19
33,8g,-9.87,-9.73,0.25
34,A_cor,-11.74,-8.93,0.25
35,20539_10,-11.18,-11.25,0.03
36,20819_8,-11.18,-9.88,0.03
37,20820_11,-10.83,-11.38,0.03
38,20814_6,-10.53,-11.21,0.03
39,20705_cys,-10.91,-9.92,0.0
40,21331,-10.77,-11.76,0.0
