,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,5a~5c,-0.38,-0.01,0.02,0.0,0.27
1,5a~5d,-0.2,-1.02,0.02,-0.88,0.41
2,5b~5d,-4.06,-4.89,0.03,-4.67,0.41
3,5e~5a,-2.96,-1.43,0.03,-1.44,0.4
4,5e~5b,0.9,2.35,0.02,2.36,0.4
5,5f~5b,4.19,4.67,0.03,4.81,0.37
6,5f~5c,-0.05,0.88,0.02,1.02,0.41
7,5f~5d,0.13,0.42,0.02,0.14,0.41
8,5f~5i,0.77,1.81,0.03,1.81,0.34
9,5g~5a,-1.07,-0.69,0.03,-0.54,0.41
10,5g~5b,2.79,3.18,0.03,3.25,0.41
11,5g~5c,-1.45,-0.52,0.03,-0.54,0.27
12,5g~5d,-1.27,-1.24,0.03,-1.42,0.27
13,5g~5h,-2.6,-4.72,0.03,-4.76,0.41
14,5h~5d,1.33,3.24,0.03,3.34,0.38
15,5h~5k,1.44,1.65,0.04,1.51,0.41
16,5i~5c,-0.82,-0.66,0.04,-0.79,0.41
17,5i~5k,-0.53,-3.64,0.06,-3.5,0.41
18,8b~8a,-1.31,-0.26,0.03,-0.49,0.56
19,8c~8a,-1.63,-1.53,0.02,-1.3,0.56
20,8c~8f,-1.95,-0.32,0.03,-0.55,0.56
21,8d~8f,-2.07,-0.51,0.05,-0.28,0.56
22,8e~8b,3.03,1.02,0.03,0.79,0.56
23,8e~8d,3.47,1.1,0.06,1.33,0.56
24,8g~8f,0.14,0.47,0.02,0.55,0.14
25,8g~A_cor,-1.87,0.55,0.02,0.47,0.14
26,A_cor~8f,2.01,0.17,0.02,0.09,0.14
27,20539_10~20819_8,0.0,1.03,0.03,1.03,0.05
28,20539_10~20820_11,0.35,-0.05,0.04,-0.01,0.05
29,20814_6~20539_10,-0.65,-0.23,0.05,-0.2,0.05
30,20814_6~20819_8,-0.65,0.88,0.05,0.83,0.06
31,20814_6~20820_11,-0.3,-0.22,0.06,-0.21,0.06
32,20820_11~20819_8,-0.35,0.99,0.04,1.04,0.06
33,16352_1e~21031_1p,2.33,2.08,0.04,1.88,0.53
34,1s~21031_1p,1.28,1.15,0.03,1.35,0.53
35,1s~21081_1k,2.05,1.6,0.05,1.4,0.53
36,21027_1q~1t,-1.89,-1.24,0.05,-1.32,0.39
37,21027_1q~21081_1k,-0.22,0.68,0.07,0.76,0.39
38,21028_1r~21081_1k,1.92,1.98,0.03,1.89,0.34
39,21030_1o~16353_1d,-1.06,-0.51,0.04,-0.49,0.41
40,21030_1o~21028_1r,-0.55,-0.85,0.04,-1.06,0.53
41,21030_1o~21082_1l,1.51,0.62,0.04,0.8,0.53
42,21080_1j~16352_1e,-1.4,0.48,0.06,0.28,0.53
43,21080_1j~1t,0.03,0.05,0.05,0.13,0.39
44,21080_1j~21028_1r,-0.22,0.2,0.02,0.32,0.53
45,21081_1k~16353_1d,-2.43,-1.3,0.02,-1.32,0.41
46,21081_1k~21082_1l,0.14,0.15,0.06,-0.03,0.53
47,20705_cys~21331,0.14,-0.85,0.05,-0.85,0.0
48,20524_2j95_cys~21087,-0.41,-1.01,0.04,-0.59,0.94
49,21083~21084,-0.94,0.03,0.02,-0.15,0.78
50,21083~21085,-1.52,0.4,0.06,0.28,0.72
51,21083~21086,-4.76,-3.21,0.03,-3.01,0.72
52,21083~21087,-5.3,-2.24,0.03,-2.14,0.78
53,21084~20524_2j95_cys,-3.95,-1.58,0.04,-1.4,0.94
54,21084~21085,-0.58,0.96,0.06,0.43,0.94
55,21084~21086,-3.82,-3.02,0.02,-2.85,0.83
56,21085~20524_2j95_cys,-3.37,-1.95,0.04,-1.84,0.74
57,21085~21086,-3.24,-3.27,0.05,-3.29,0.55
58,21085~21087,-3.78,-1.68,0.06,-2.42,0.94
59,21086~20524_2j95_cys,-0.13,1.32,0.02,1.45,0.72
60,21086~21087,-0.54,0.64,0.03,0.86,0.83
