,lig,EXP,Pred dG,Pred dG err
0,30,-11.63,-11.75,0.21
1,32,-9.49,-9.41,0.18
2,34,-11.13,-10.7,0.37
3,24,-10.28,-9.86,0.46
4,31,-11.87,-10.8,0.19
5,13,-11.22,-9.67,0.14
6,37,-11.46,-12.13,0.16
7,16,-9.24,-8.1,0.1
8,23,-8.96,-10.13,0.14
9,19,-10.67,-10.01,0.19
10,25,-9.74,-10.74,0.2
11,41,-11.22,-12.34,0.18
12,43,-11.87,-10.94,0.24
13,39,-11.46,-11.58,0.25
14,29,-9.2,-11.95,0.26
15,21,-9.7,-9.11,0.1
16,45,-11.13,-11.04,0.18
17,27,-8.41,-9.67,0.11
18,44,-11.46,-10.3,0.54
19,33,-11.05,-10.17,0.23
20,40,-11.13,-11.99,0.2
21,20,-10.64,-10.41,0.1
22,17,-8.94,-7.55,0.19
23,22,-10.22,-10.45,0.19
24,26,-10.16,-9.89,0.21
25,42,-11.46,-10.92,0.22
26,15,-7.64,-7.24,0.11
27,38,-11.32,-11.7,0.47
28,35,-11.46,-11.45,0.1
29,36,-11.22,-11.93,0.12
30,14,-8.29,-8.42,0.12
31,28,-6.17,-9.28,0.23
32,18,-10.91,-9.12,0.11
