,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,13~14,2.93,1.21,0.05,1.24,0.12
1,16~14,0.95,-0.3,0.03,-0.33,0.12
2,16~15,1.6,0.86,0.03,0.87,0.1
3,16~19,-1.43,-2.06,0.03,-1.81,0.51
4,16~20,-1.4,-2.25,0.04,-2.32,0.13
5,17~16,-0.3,-0.59,0.02,-0.34,0.51
6,17~25,-0.8,-2.67,0.05,-2.92,0.51
7,17~45,-2.19,-3.61,0.04,-3.52,0.13
8,18~13,-0.31,-0.43,0.04,-0.58,0.21
9,18~15,3.27,1.87,0.03,1.86,0.1
10,18~45,-0.22,-1.93,0.03,-1.84,0.21
11,19~25,0.93,-1.04,0.03,-0.78,0.51
12,19~32,1.18,0.7,0.02,0.65,0.23
13,20~35,-0.82,-0.93,0.04,-1.0,0.13
14,21~20,-0.94,-1.32,0.04,-1.29,0.05
15,21~26,-0.46,-0.81,0.03,-0.8,0.25
16,21~29,0.5,-2.76,0.03,-2.84,0.3
17,21~41,-1.52,-3.32,0.03,-3.33,0.22
18,22~21,0.52,1.44,0.02,1.39,0.3
19,22~26,0.06,0.59,0.03,0.58,0.25
20,22~32,0.73,0.89,0.03,0.95,0.3
21,23~14,0.67,1.77,0.06,1.72,0.07
22,23~34,-2.17,-0.87,0.04,-0.8,0.5
23,24~33,-0.77,0.11,0.03,-0.18,0.64
24,24~42,-1.18,-1.49,0.05,-1.2,0.64
25,27~36,-2.81,-2.19,0.04,-2.25,0.06
26,28~25,-3.57,-1.43,0.03,-1.53,0.23
27,28~30,-5.46,-2.41,0.04,-2.5,0.42
28,28~39,-5.29,-2.23,0.04,-2.04,0.42
29,29~33,-1.85,1.54,0.03,1.83,0.64
30,30~33,0.58,1.95,0.03,1.78,0.42
31,30~37,0.17,-0.51,0.02,-0.43,0.21
32,31~25,2.13,-0.07,0.04,0.07,0.17
33,31~37,0.41,-1.19,0.02,-1.33,0.17
34,32~23,0.53,-0.55,0.04,-0.53,0.5
35,33~32,1.56,1.33,0.03,0.93,0.78
36,33~34,-0.08,-0.72,0.03,-0.4,0.78
37,34~36,-0.09,-2.06,0.06,-1.68,0.78
38,35~18,0.55,2.4,0.04,2.33,0.13
39,35~27,3.05,1.84,0.04,1.78,0.06
40,35~36,0.24,-0.46,0.03,-0.47,0.21
41,35~37,0.0,-0.66,0.03,-0.6,0.21
42,38~29,2.12,-0.47,0.04,-0.18,0.64
43,39~32,1.97,2.15,0.03,2.24,0.42
44,40~19,0.46,2.06,0.03,1.99,0.21
45,40~33,0.08,1.54,0.03,1.7,0.33
46,41~39,-0.24,0.74,0.02,0.64,0.33
47,41~40,0.09,0.16,0.02,0.25,0.33
48,42~13,0.24,1.05,0.04,1.23,0.21
49,43~38,0.55,-0.99,0.03,-0.7,0.64
50,43~42,0.41,0.05,0.02,-0.06,0.64
51,43~45,0.74,0.07,0.03,-0.11,0.21
52,44~32,1.97,0.82,0.04,1.14,0.78
53,44~36,0.24,-1.55,0.11,-1.87,0.78
