,lig,EXP,Pred dG,Pred dG err
0,CHEMBL1078998,-10.37,-10.93,0.36
1,CHEMBL1084678,-11.13,-11.68,0.39
2,CHEMBL1077227,-11.32,-11.21,0.37
3,CHEMBL1084676,-10.71,-10.43,0.52
4,CHEMBL1086410,-11.46,-10.62,0.29
5,CHEMBL1085692,-11.32,-11.0,0.6
6,CHEMBL1089056,-9.44,-9.95,0.32
7,CHEMBL1083517,-11.46,-12.63,0.52
8,CHEMBL1096003,-11.87,-11.22,0.51
9,CHEMBL1077204,-11.05,-11.38,0.51
10,CHEMBL1078691,-10.19,-12.08,0.48
11,CHEMBL1082248,-11.63,-11.16,0.4
12,CHEMBL1078774,-10.6,-10.48,0.38
13,CHEMBL1082249,-11.22,-10.84,0.58
14,CHEMBL1084935,-10.53,-9.96,0.52
15,CHEMBL1085666,-10.5,-11.07,0.48
16,CHEMBL1084143,-11.87,-11.5,0.52
17,CHEMBL1096002,-11.13,-11.9,0.39
18,CHEMBL1084431,-9.8,-9.07,0.52
19,CHEMBL1084115,-9.44,-10.06,0.38
20,CHEMBL1089393,-8.38,-7.8,0.42
21,CHEMBL1085895,-10.86,-11.06,0.42
22,CHEMBL1088740,-8.7,-7.69,0.35
23,CHEMBL1084677,-11.46,-11.82,0.47
24,CHEMBL1086409,-9.87,-10.34,0.39
25,CHEMBL1093088,-11.22,-10.38,0.42
26,CHEMBL1093087,-10.53,-10.39,0.56
27,CHEMBL1083836,-10.86,-10.26,0.49
