,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,CHEMBL1077204~CHEMBL1083836,0.19,1.05,0.05,1.12,0.98
1,CHEMBL1077204~CHEMBL1084143,-0.82,-0.16,0.05,-0.12,0.74
2,CHEMBL1077204~CHEMBL1084676,0.34,0.8,0.03,0.95,0.74
3,CHEMBL1077227~CHEMBL1078998,0.95,0.28,0.04,0.28,0.35
4,CHEMBL1077227~CHEMBL1084935,0.79,1.53,0.05,1.24,1.27
5,CHEMBL1077227~CHEMBL1085666,0.82,0.14,0.05,0.14,0.92
6,CHEMBL1077227~CHEMBL1086410,-0.14,0.59,0.04,0.59,0.84
7,CHEMBL1078691~CHEMBL1089056,0.75,2.34,0.02,2.12,0.51
8,CHEMBL1078691~CHEMBL1093088,-1.03,1.49,0.04,1.71,0.51
9,CHEMBL1078774~CHEMBL1088740,1.9,2.85,0.03,2.8,0.32
10,CHEMBL1078774~CHEMBL1089056,1.16,0.48,0.02,0.53,0.32
11,CHEMBL1082248~CHEMBL1083517,0.17,-0.79,0.03,-1.47,1.21
12,CHEMBL1082248~CHEMBL1083836,0.77,0.41,0.03,0.9,1.15
13,CHEMBL1082248~CHEMBL1084143,-0.24,-0.2,0.07,-0.34,1.07
14,CHEMBL1082248~CHEMBL1084678,0.5,-0.26,0.06,-0.52,1.23
15,CHEMBL1082248~CHEMBL1086410,0.17,0.44,0.03,0.54,0.84
16,CHEMBL1082248~CHEMBL1096002,0.5,-0.55,0.03,-0.74,1.0
17,CHEMBL1082249~CHEMBL1077227,-0.1,-0.07,0.06,-0.37,1.27
18,CHEMBL1082249~CHEMBL1082248,-0.41,0.07,0.03,-0.33,1.23
19,CHEMBL1082249~CHEMBL1086409,1.35,-0.23,0.05,0.5,1.27
20,CHEMBL1082249~CHEMBL1096003,-0.65,-0.35,0.05,-0.38,0.86
21,CHEMBL1083517~CHEMBL1085666,0.96,1.42,0.03,1.57,0.87
22,CHEMBL1083836~CHEMBL1085666,0.36,-1.32,0.03,-0.81,1.15
23,CHEMBL1083836~CHEMBL1096002,-0.27,-1.38,0.03,-1.64,0.93
24,CHEMBL1084115~CHEMBL1078998,-0.93,-1.09,0.06,-0.85,0.46
25,CHEMBL1084115~CHEMBL1088740,0.74,2.27,0.04,2.35,0.34
26,CHEMBL1084115~CHEMBL1089056,0.0,0.37,0.03,0.13,0.46
27,CHEMBL1084431~CHEMBL1083517,-1.66,-3.72,0.07,-3.56,1.04
28,CHEMBL1084431~CHEMBL1085666,-0.7,-1.52,0.07,-2.0,1.04
29,CHEMBL1084431~CHEMBL1096002,-1.33,-2.7,0.06,-2.82,0.82
30,CHEMBL1084677~CHEMBL1083836,0.6,1.87,0.05,1.56,0.88
31,CHEMBL1084677~CHEMBL1084676,0.75,1.2,0.05,1.39,0.88
32,CHEMBL1084677~CHEMBL1085692,0.14,0.86,0.05,0.82,0.77
33,CHEMBL1084677~CHEMBL1096003,-0.41,0.44,0.04,0.6,0.86
34,CHEMBL1084678~CHEMBL1077204,0.08,0.04,0.05,0.3,0.98
35,CHEMBL1084678~CHEMBL1084143,-0.74,0.2,0.04,0.18,1.07
36,CHEMBL1084678~CHEMBL1084431,1.33,3.05,0.06,2.61,0.97
37,CHEMBL1084678~CHEMBL1084676,0.42,1.97,0.05,1.25,1.27
38,CHEMBL1084678~CHEMBL1084677,-0.33,-0.15,0.04,-0.14,0.82
39,CHEMBL1084678~CHEMBL1084935,0.6,1.31,0.05,1.71,1.27
40,CHEMBL1085692~CHEMBL1084676,0.61,0.84,0.04,0.57,1.0
41,CHEMBL1085692~CHEMBL1096002,0.19,-1.12,0.05,-0.89,1.0
42,CHEMBL1085895~CHEMBL1078998,0.49,0.02,0.06,0.11,0.51
43,CHEMBL1085895~CHEMBL1088740,2.16,3.3,0.05,3.38,0.42
44,CHEMBL1086409~CHEMBL1082248,-1.76,-0.55,0.03,-0.82,0.99
45,CHEMBL1086409~CHEMBL1083517,-1.59,-2.53,0.02,-2.3,1.02
46,CHEMBL1086409~CHEMBL1084676,-0.84,-0.75,0.05,-0.09,1.27
47,CHEMBL1086409~CHEMBL1084678,-1.26,-1.05,0.06,-1.34,0.96
48,CHEMBL1086409~CHEMBL1085666,-0.63,-0.55,0.03,-0.73,1.15
49,CHEMBL1086409~CHEMBL1086410,-1.59,-0.41,0.03,-0.28,0.79
50,CHEMBL1086410~CHEMBL1084935,0.93,0.58,0.04,0.65,0.77
