,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,1~15,0.27,-0.43,0.03,-0.6,0.61
1,15~25,0.77,1.58,0.03,1.43,1.0
2,1~254,1.77,1.17,0.04,0.98,0.61
3,1~256,0.65,2.44,0.04,2.72,0.45
4,235~1,-1.2,0.85,0.04,0.77,0.29
5,23~15,-3.98,-2.42,0.03,-2.51,1.15
6,30~25,0.29,-1.04,0.04,-0.89,0.41
7,30~42,1.63,-0.18,0.03,0.02,0.42
8,30~84,2.99,2.55,0.03,2.33,0.42
9,31~61,-1.27,-0.43,0.04,-1.23,1.76
10,31~7a,-1.16,-1.91,0.04,-2.07,1.15
11,35~7a,-2.85,-0.35,0.03,-0.35,0.03
12,41~7b,2.4,0.09,0.03,0.52,1.61
13,43~25,-1.58,-1.64,0.04,-1.78,0.58
14,43~54,-0.61,0.97,0.04,0.83,0.47
15,7a~23,2.93,0.3,0.03,0.27,1.15
16,84~15,-3.47,-4.55,0.04,-4.65,0.65
17,155~84,2.92,3.58,0.04,3.8,0.42
18,156~42,0.8,0.78,0.04,0.68,0.53
19,164~25,-3.52,-4.22,0.04,-3.93,0.59
20,167~50,0.97,4.2,0.04,4.35,0.75
21,206~23,3.05,0.87,0.04,0.71,0.48
22,206~42,1.18,0.78,0.04,0.54,0.46
23,206~57,-0.55,-3.2,0.03,-2.88,0.48
24,215~15,-0.45,-0.57,0.01,-0.66,1.4
25,227~15,-0.29,1.04,0.03,1.5,1.76
26,235~54,0.81,4.02,0.05,4.21,0.41
27,237~31,0.71,3.91,0.04,2.95,1.76
28,237~41,-0.24,0.77,0.04,1.2,1.61
29,251~15,-0.81,-2.14,0.03,-2.3,1.76
30,251~25,-0.04,-0.71,0.03,-0.87,1.0
31,254~50,-0.15,4.25,0.04,4.1,0.75
32,266~84,2.95,5.47,0.05,5.38,0.65
33,289~35,3.76,1.33,0.04,1.33,0.04
34,290~23,3.5,2.96,0.04,3.06,0.65
35,290~7a,0.57,2.68,0.04,2.79,0.72
36,30~251,0.33,0.11,0.04,-0.02,0.41
37,42~164,2.18,3.17,0.04,3.03,0.53
38,43~155,-1.8,-2.44,0.04,-2.37,0.53
39,43~215,-1.9,-2.64,0.04,-2.55,0.58
40,43~235,-1.42,-3.49,0.04,-3.38,0.41
41,54~124,-0.81,-3.61,0.03,-3.83,0.47
42,54~251,-0.93,-2.02,0.05,-1.74,0.42
43,57~231,0.65,2.25,0.03,2.57,0.48
44,61~251,-0.13,0.03,0.04,-0.77,1.76
45,67~165,0.93,1.29,0.04,1.64,0.46
46,67~256,-0.5,1.98,0.03,1.63,0.46
47,7a~224,0.34,-2.01,0.04,-2.04,1.02
48,7b~231,-2.63,-2.03,0.04,-1.6,1.61
49,156~164,2.98,3.59,0.04,3.7,0.75
50,156~165,0.5,1.88,0.04,1.66,1.02
51,156~167,-0.93,-0.54,0.03,-0.32,1.02
52,164~124,-3.36,-4.83,0.04,-5.15,0.75
53,165~163,-1.77,-1.33,0.02,-1.44,0.4
54,165~252,-0.47,-1.25,0.03,-0.85,1.7
55,165~336,-0.58,-0.45,0.04,-0.07,1.52
56,167~155,0.17,-0.57,0.04,-0.49,1.35
57,167~165,1.43,1.53,0.03,1.98,1.7
58,206~256,-0.55,1.45,0.03,1.52,0.46
59,215~163,-0.41,0.88,0.01,1.13,0.43
60,215~252,0.89,1.77,0.02,1.81,1.4
61,224~231,-0.36,1.33,0.04,1.3,1.02
62,227~167,0.09,2.38,0.04,2.84,1.7
63,227~231,0.74,2.81,0.02,3.0,1.77
64,234~289,-0.56,-0.26,0.03,-0.26,0.03
65,237~227,-1.21,-3.98,0.03,-2.87,1.77
66,237~254,0.0,0.02,0.03,0.22,1.32
67,237~290,-1.02,-2.12,0.03,-1.91,0.72
68,237~336,-0.27,2.88,0.04,1.89,1.77
69,252~124,-0.41,-2.81,0.04,-2.26,0.75
70,252~155,-0.79,-1.7,0.03,-1.63,1.35
71,252~231,-0.31,-0.06,0.03,-0.98,1.77
72,252~336,-0.11,0.04,0.02,0.78,1.77
73,254~251,-0.69,0.54,0.02,0.72,1.32
74,266~165,1.29,3.98,0.04,4.05,0.97
75,266~254,0.98,2.29,0.04,2.31,0.97
76,336~251,-0.42,-1.09,0.04,-0.95,1.16
77,338~163,-0.25,-0.79,0.03,-1.04,0.43
78,338~165,1.52,0.41,0.03,0.43,0.42
79,338~215,0.16,-2.42,0.03,-2.17,0.43
