,lig,EXP,Pred dG,Pred dG err
0,26,-9.17,-8.54,0.17
1,52,-10.4,-8.85,0.17
2,57,-10.47,-10.69,0.2
3,39,-7.2,-6.78,0.15
4,30,-9.2,-8.56,0.19
5,36,-7.44,-9.0,0.25
6,23,-7.91,-7.32,0.24
7,70,-10.3,-10.67,0.11
8,37,-10.0,-8.85,0.17
9,68,-9.78,-10.95,0.17
10,59,-8.12,-9.04,0.17
11,24,-8.87,-8.49,0.18
12,38,-8.76,-9.17,0.16
13,47,-8.33,-6.69,0.17
14,20,-8.52,-7.9,0.15
15,44,-9.95,-9.0,0.18
16,62,-7.69,-7.26,0.2
17,43,-8.0,-9.34,0.25
18,46,-7.86,-7.44,0.36
19,56,-10.57,-10.53,0.17
20,35,-10.14,-9.73,0.15
21,48,-8.01,-7.69,0.18
22,29,-9.65,-9.99,0.27
23,64,-9.42,-9.45,0.18
24,19,-7.55,-7.41,0.14
25,58,-9.13,-9.88,0.19
26,42,-8.47,-8.57,0.27
27,60,-8.14,-8.73,0.23
28,55,-10.64,-10.94,0.45
29,69,-10.71,-10.65,0.12
30,53,-7.0,-7.91,0.16
31,34,-9.97,-8.93,0.24
32,63,-8.56,-9.34,0.23
33,67,-10.24,-11.98,0.18
34,31,-9.28,-9.08,0.2
35,49,-7.93,-6.77,0.23
36,33,-8.61,-8.34,0.29
37,54,-8.18,-8.09,0.23
38,65,-9.49,-10.05,0.17
39,41,-7.39,-8.48,0.21
