,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,38~26,-0.41,0.61,0.04,0.58,0.24
1,24~69,-1.84,-2.11,0.05,-2.22,0.29
2,20~39,1.32,0.83,0.02,1.04,0.18
3,38~39,1.56,2.59,0.03,2.42,0.16
4,52~46,2.54,1.31,0.03,1.07,0.49
5,30~56,-1.37,-1.94,0.04,-1.99,0.23
6,38~41,1.37,0.48,0.04,0.68,0.24
7,49~42,-0.54,-1.82,0.02,-1.74,0.33
8,67~56,-0.33,1.26,0.05,1.42,0.24
9,59~52,-2.28,0.36,0.04,0.12,0.49
10,56~69,-0.14,-0.28,0.04,-0.17,0.24
11,20~42,0.05,-0.65,0.02,-0.73,0.33
12,54~36,0.74,-1.05,0.03,-0.92,0.34
13,35~69,-0.57,-0.95,0.04,-0.89,0.11
14,47~46,0.47,-0.65,0.01,-0.41,0.49
15,33~36,1.17,-0.61,0.04,-0.65,0.33
16,62~31,-1.59,-1.85,0.04,-1.82,0.22
17,52~19,2.85,1.56,0.04,1.49,0.21
18,26~69,-1.54,-2.26,0.05,-2.19,0.29
19,31~19,1.73,1.64,0.03,1.67,0.22
20,63~36,1.12,0.43,0.04,0.34,0.34
21,59~35,-2.02,-0.71,0.04,-0.65,0.11
22,69~23,2.8,3.3,0.05,3.35,0.3
23,47~20,-0.19,-1.14,0.03,-1.26,0.12
24,69~60,2.57,1.92,0.03,1.95,0.3
25,62~53,0.69,-0.47,0.04,-0.63,0.33
26,55~23,2.73,3.94,0.04,3.59,0.61
27,65~34,-0.48,1.24,0.05,1.09,0.29
28,24~70,-1.43,-2.11,0.04,-2.15,0.24
29,52~53,3.4,0.94,0.01,0.94,0.21
30,30~70,-1.1,-2.14,0.04,-2.09,0.23
31,48~47,-0.32,1.14,0.02,1.02,0.12
32,65~64,0.07,0.56,0.07,0.59,0.15
33,57~70,0.17,0.15,0.02,0.02,0.24
34,68~70,-0.52,0.37,0.04,0.21,0.33
35,54~70,-2.12,-2.56,0.03,-2.57,0.3
36,29~23,1.74,2.42,0.03,2.62,0.61
37,48~20,-0.51,-0.21,0.03,-0.24,0.3
38,33~70,-1.69,-2.25,0.03,-2.3,0.52
39,49~44,-2.02,-1.99,0.02,-2.24,0.3
40,58~63,0.57,0.35,0.02,0.54,0.33
41,41~44,-2.56,-0.74,0.03,-0.54,0.24
42,69~53,3.71,2.72,0.05,2.77,0.29
43,39~37,-2.8,-2.15,0.05,-2.11,0.18
44,43~44,-1.95,0.11,0.02,0.26,0.3
45,59~47,-0.21,1.34,0.04,1.58,0.49
46,44~68,0.17,-2.11,0.02,-2.01,0.24
47,29~70,-0.65,-0.67,0.04,-0.67,0.54
48,19~37,-2.45,-1.36,0.04,-1.4,0.18
49,19~70,-2.75,-3.26,0.04,-3.25,0.22
50,43~48,-0.01,1.88,0.03,1.73,0.3
51,29~63,1.09,0.98,0.05,0.65,0.61
52,33~23,0.7,0.89,0.02,0.98,0.52
53,58~68,-0.65,-1.1,0.02,-1.09,0.3
54,49~58,-1.2,-3.34,0.02,-3.16,0.33
55,62~70,-2.61,-3.59,0.02,-3.43,0.33
56,58~60,0.99,1.14,0.02,1.11,0.3
57,67~57,-0.23,1.42,0.05,1.29,0.24
58,26~70,-1.13,-2.02,0.04,-2.12,0.29
59,68~53,2.78,2.84,0.03,3.0,0.33
60,29~54,1.47,1.78,0.03,1.9,0.34
61,24~34,-1.1,-0.56,0.03,-0.41,0.29
62,55~63,2.08,1.28,0.04,1.63,0.61
63,65~70,-0.81,-0.78,0.05,-0.64,0.54
64,65~63,0.93,0.98,0.04,0.67,0.54
65,65~20,0.97,1.99,0.03,2.28,0.33
66,67~64,0.82,2.57,0.03,2.54,0.15
