,lig,EXP,Pred dG,Pred dG err
0,39,-7.2,-6.38,0.52
1,68,-9.78,-9.92,0.29
2,55,-10.64,-11.72,0.37
3,59,-8.12,-9.1,0.36
4,23,-7.91,-8.42,0.36
5,36,-7.44,-9.71,0.37
6,37,-10.0,-10.39,0.66
7,58,-9.13,-8.82,0.29
8,70,-10.3,-10.09,0.22
9,31,-9.28,-9.37,0.48
10,69,-10.71,-10.3,0.27
11,62,-7.69,-6.02,0.42
12,38,-8.76,-9.19,0.51
13,60,-8.14,-8.27,0.43
14,33,-8.61,-8.7,0.37
15,54,-8.18,-9.94,0.45
16,42,-8.47,-8.92,0.39
17,57,-10.47,-10.76,0.44
18,56,-10.57,-11.45,0.35
19,19,-7.55,-8.01,0.39
20,52,-10.4,-9.73,0.33
21,53,-7.0,-9.06,0.32
22,63,-8.56,-7.97,0.26
23,29,-9.65,-9.25,0.32
24,47,-8.33,-6.82,0.32
25,41,-7.39,-9.06,0.49
26,48,-8.01,-7.4,0.33
27,34,-9.97,-9.34,0.47
28,44,-9.95,-7.73,0.31
29,46,-7.86,-6.63,0.43
30,26,-9.17,-8.53,0.48
31,65,-9.49,-8.72,0.27
32,20,-8.52,-8.41,0.3
33,64,-9.42,-8.64,0.28
34,35,-10.14,-10.19,0.39
35,30,-9.2,-8.93,0.35
36,24,-8.87,-8.25,0.38
37,67,-10.24,-10.79,0.3
38,49,-7.93,-6.58,0.35
39,43,-8.0,-9.52,0.34
