,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,19~37,-2.45,-1.88,0.04,-2.36,0.83
1,19~70,-2.75,-2.2,0.04,-2.06,0.83
2,20~39,1.32,1.65,0.02,2.02,0.68
3,20~42,0.05,-0.34,0.02,-0.52,0.42
4,24~34,-1.1,-0.78,0.03,-1.1,0.58
5,24~69,-1.84,-2.1,0.05,-2.05,0.55
6,24~70,-1.43,-2.12,0.04,-1.85,0.58
7,26~69,-1.54,-2.09,0.05,-1.77,0.73
8,26~70,-1.13,-1.0,0.04,-1.57,0.83
9,29~23,1.74,1.15,0.03,0.83,0.73
10,29~54,1.47,-1.03,0.03,-0.69,0.73
11,29~63,1.09,1.29,0.05,1.28,0.33
12,29~70,-0.65,-0.85,0.04,-0.85,0.63
13,30~56,-1.37,-2.59,0.04,-2.52,0.38
14,30~70,-1.1,-1.09,0.04,-1.16,0.38
15,31~19,1.73,1.23,0.03,1.35,0.51
16,33~23,0.7,0.13,0.02,0.28,0.62
17,33~36,1.17,-0.73,0.04,-1.01,0.62
18,33~70,-1.69,-1.53,0.03,-1.4,0.47
19,35~69,-0.57,-0.45,0.04,-0.11,0.45
20,38~26,-0.41,0.9,0.04,0.65,0.83
21,38~39,1.56,2.69,0.03,2.8,0.83
22,38~41,1.37,-0.01,0.04,0.13,0.53
23,39~37,-2.8,-4.5,0.05,-4.02,0.83
24,41~44,-2.56,1.2,0.03,1.34,0.53
25,43~44,-1.95,2.03,0.02,1.78,0.28
26,43~48,-0.01,1.88,0.03,2.13,0.28
27,44~68,0.17,-2.38,0.02,-2.2,0.53
28,47~20,-0.19,-1.34,0.03,-1.6,0.46
29,47~46,0.47,-0.04,0.01,0.21,0.51
30,48~20,-0.51,-1.27,0.03,-1.01,0.46
31,48~47,-0.32,0.86,0.02,0.6,0.46
32,49~42,-0.54,-2.52,0.02,-2.34,0.42
33,49~44,-2.02,-1.44,0.02,-1.15,0.52
34,49~58,-1.2,-1.79,0.02,-2.25,0.52
35,52~19,2.85,2.2,0.04,1.74,0.51
36,52~46,2.54,3.34,0.03,3.09,0.51
37,52~53,3.4,0.57,0.01,0.7,0.51
38,54~36,0.74,-0.07,0.03,0.23,0.62
39,54~70,-2.12,-0.2,0.03,-0.16,0.73
40,55~23,2.73,3.31,0.04,3.3,0.38
41,55~63,2.08,3.73,0.04,3.74,0.38
42,56~69,-0.14,1.26,0.04,1.15,0.57
43,57~70,0.17,0.56,0.02,0.67,0.57
44,58~60,0.99,0.82,0.02,0.55,0.55
45,58~63,0.57,0.93,0.02,0.85,0.42
46,58~68,-0.65,-0.99,0.02,-1.1,0.55
47,59~35,-2.02,-1.44,0.03,-1.1,0.45
48,59~47,-0.21,2.01,0.03,2.26,0.51
49,59~52,-2.28,-0.36,0.03,-0.61,0.51
50,62~31,-1.59,-3.48,0.04,-3.36,0.51
51,62~53,0.69,-2.74,0.04,-3.04,0.67
52,62~70,-2.61,-4.24,0.02,-4.06,0.67
53,63~36,1.12,-1.73,0.06,-1.74,0.38
54,65~20,0.97,0.38,0.03,0.33,0.68
55,65~34,-0.48,-0.94,0.06,-0.62,0.58
56,65~63,0.93,0.68,0.04,0.75,0.42
57,65~64,0.07,0.16,0.07,0.08,0.14
58,65~70,-0.81,-1.12,0.05,-1.38,0.68
59,67~56,-0.33,-0.47,0.05,-0.65,0.57
60,67~57,-0.23,-0.08,0.05,0.03,0.57
61,67~64,0.82,2.08,0.03,2.16,0.14
62,68~53,2.78,0.8,0.03,0.84,0.45
63,68~70,-0.52,-0.2,0.04,-0.18,0.55
64,69~23,2.8,1.69,0.05,1.88,0.73
65,69~53,3.71,1.09,0.05,1.22,0.67
66,69~60,2.57,1.76,0.03,2.03,0.55
