,lig,EXP,Pred dG,Pred dG err
0,10,-7.15,-8.04,0.5
1,Example_24,-9.08,-8.01,0.41
2,SHP836-2,-6.71,-6.56,0.56
3,Example_14,-9.78,-9.42,0.75
4,Example_2,-8.28,-7.73,0.41
5,11,-6.35,-7.08,0.48
6,Example_25,-8.87,-7.64,0.44
7,7,-7.08,-7.39,0.53
8,Example_8,-9.71,-9.6,0.47
9,4,-5.82,-6.71,0.62
10,Example_9,-8.79,-8.28,0.54
11,Example_6,-9.07,-9.27,0.49
12,Example_23,-8.74,-8.89,0.43
13,Example_26,-8.96,-8.03,0.49
14,Example_5,-7.56,-8.59,0.69
15,Example_4,-8.2,-7.94,0.38
16,Example_28,-8.46,-8.7,0.71
17,Example_1,-8.99,-8.7,0.35
18,Example_29,-7.62,-8.13,0.57
19,Example_22,-9.24,-8.51,0.71
20,Example_3,-8.22,-8.6,0.45
21,Example_30,-9.16,-8.69,0.38
22,Example_27,-8.52,-8.06,0.59
23,6,-8.03,-7.93,0.58
24,3,-5.46,-6.5,0.66
25,SHP099-1_Example_7,-9.75,-10.58,0.28
