,lig,EXP,Pred dG,Pred dG err
0,CHEMBL3265029,-11.12,-10.33,0.31
1,CHEMBL3265024,-11.79,-10.74,0.24
2,CHEMBL3265011,-8.64,-7.34,0.45
3,CHEMBL3265000,-11.81,-12.84,0.69
4,CHEMBL3265017,-11.49,-10.6,0.23
5,CHEMBL3265033,-11.84,-11.46,0.35
6,CHEMBL3265019,-10.78,-11.3,0.74
7,CHEMBL3264999,-11.42,-11.77,0.44
8,CHEMBL3265001,-12.03,-13.11,0.44
9,CHEMBL3265028,-11.01,-10.02,0.26
10,CHEMBL3265034,-11.49,-10.59,0.31
11,CHEMBL3265023,-10.48,-10.8,0.28
12,CHEMBL3265012,-10.55,-10.83,0.45
13,CHEMBL3265013,-9.81,-10.63,0.27
14,CHEMBL3265036,-10.42,-11.18,0.32
15,CHEMBL3265022,-10.79,-10.18,0.26
16,CHEMBL3265037,-12.77,-11.08,0.26
17,CHEMBL3265025,-10.2,-10.75,0.32
18,CHEMBL3265014,-10.4,-10.02,0.29
19,CHEMBL3265020,-11.01,-10.19,0.25
20,CHEMBL3265032,-11.06,-10.85,0.27
21,CHEMBL3264996,-10.67,-12.77,0.46
22,CHEMBL3265027,-10.33,-9.38,0.23
23,CHEMBL3265003,-10.82,-13.42,0.46
24,CHEMBL3265026,-11.36,-10.71,0.35
25,CHEMBL3264994,-9.81,-11.04,0.74
26,CHEMBL3265035,-11.08,-10.49,0.35
27,CHEMBL3265031,-12.07,-11.2,0.23
28,CHEMBL3265008,-9.78,-9.84,0.3
29,CHEMBL3265004,-10.86,-12.91,0.33
30,CHEMBL3265016,-11.69,-10.1,0.31
31,CHEMBL3265005,-10.33,-9.87,0.41
32,CHEMBL3265002,-10.61,-13.01,0.35
33,CHEMBL3265009,-10.3,-10.25,0.38
34,CHEMBL3265018,-11.19,-10.96,0.59
35,CHEMBL3265021,-10.89,-10.63,0.26
36,CHEMBL3265006,-9.96,-9.39,0.36
37,CHEMBL3265030_n,-11.47,-10.7,0.23
38,CHEMBL3264995,-12.39,-12.24,0.53
39,CHEMBL3265015,-9.48,-8.16,0.37
40,CHEMBL3264998,-11.72,-13.37,0.53
41,CHEMBL3259820,-10.57,-10.88,0.39
42,CHEMBL3265010,-10.14,-10.21,0.54
43,CHEMBL3264997,-10.98,-11.3,0.7
