,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,CHEMBL3264995~CHEMBL3264994,2.58,1.83,0.07,1.19,0.82
1,CHEMBL3264995~CHEMBL3265001,0.36,-0.64,0.04,-0.87,0.4
2,CHEMBL3264997~CHEMBL3264994,1.17,-0.26,0.07,0.26,0.82
3,CHEMBL3264997~CHEMBL3264995,-1.41,-0.67,0.05,-0.94,0.82
4,CHEMBL3264998~CHEMBL3264995,-0.67,1.36,0.04,1.13,0.4
5,CHEMBL3264998~CHEMBL3265001,-0.31,0.03,0.0,0.26,0.4
6,CHEMBL3264999~CHEMBL3264996,0.75,-0.74,0.03,-1.0,1.15
7,CHEMBL3265000~CHEMBL3264994,2.0,1.68,0.08,1.8,0.65
8,CHEMBL3265000~CHEMBL3264995,-0.58,0.97,0.04,0.6,0.65
9,CHEMBL3265000~CHEMBL3264997,0.83,1.29,0.06,1.54,0.39
10,CHEMBL3265002~CHEMBL3264996,-0.06,0.18,0.03,0.25,0.94
11,CHEMBL3265002~CHEMBL3264999,-0.81,1.18,0.03,1.25,0.94
12,CHEMBL3265003~CHEMBL3264999,-0.6,1.53,0.03,1.65,0.83
13,CHEMBL3265004~CHEMBL3264999,-0.56,1.09,0.03,1.14,0.58
14,CHEMBL3265006~CHEMBL3265011,1.32,2.23,0.04,2.05,0.83
15,CHEMBL3265006~CHEMBL3265026,-1.4,-1.51,0.03,-1.31,0.69
16,CHEMBL3265008~CHEMBL3259820,-0.79,-0.78,0.04,-1.04,0.52
17,CHEMBL3265008~CHEMBL3265006,-0.18,0.24,0.04,0.44,0.6
18,CHEMBL3265009~CHEMBL3265003,-0.52,-3.37,0.05,-3.17,0.83
19,CHEMBL3265009~CHEMBL3265020,-0.71,0.42,0.03,0.06,0.98
20,CHEMBL3265010~CHEMBL3264996,-0.53,-2.92,0.05,-2.55,1.15
21,CHEMBL3265012~CHEMBL3265002,-0.06,-2.01,0.06,-2.18,0.79
22,CHEMBL3265012~CHEMBL3265010,0.41,0.72,0.04,0.62,0.89
23,CHEMBL3265013~CHEMBL3265004,-1.05,-2.08,0.05,-2.28,0.51
24,CHEMBL3265013~CHEMBL3265020,-1.2,0.48,0.03,0.44,0.6
25,CHEMBL3265013~CHEMBL3265023,-0.67,-0.22,0.03,-0.17,0.46
26,CHEMBL3265014~CHEMBL3265006,0.44,0.73,0.04,0.63,0.64
27,CHEMBL3265014~CHEMBL3265022,-0.39,-0.27,0.03,-0.16,0.39
28,CHEMBL3265014~CHEMBL3265025,0.2,-0.72,0.04,-0.73,0.46
29,CHEMBL3265014~CHEMBL3265028,-0.61,0.07,0.04,-0.0,0.69
30,CHEMBL3265015~CHEMBL3264999,-1.94,-3.1,0.06,-3.6,1.15
31,CHEMBL3265015~CHEMBL3265009,-0.82,-1.75,0.04,-2.09,0.98
32,CHEMBL3265015~CHEMBL3265011,0.84,-0.11,0.04,0.82,1.15
33,CHEMBL3265015~CHEMBL3265017,-2.01,-2.59,0.03,-2.44,0.67
34,CHEMBL3265016~CHEMBL3265005,1.36,0.69,0.03,0.23,0.67
35,CHEMBL3265017~CHEMBL3265002,0.88,-2.9,0.05,-2.41,0.79
36,CHEMBL3265017~CHEMBL3265024,-0.3,-0.1,0.03,-0.14,0.44
37,CHEMBL3265017~CHEMBL3265026,0.13,0.01,0.03,-0.11,0.57
38,CHEMBL3265017~CHEMBL3265032,0.43,-0.06,0.04,-0.26,0.63
39,CHEMBL3265018~CHEMBL3265005,0.86,1.04,0.04,1.09,0.73
40,CHEMBL3265018~CHEMBL3265011,2.55,3.93,0.04,3.61,0.87
41,CHEMBL3265019~CHEMBL3265005,0.45,1.16,0.04,1.43,0.87
42,CHEMBL3265020~CHEMBL3265026,-0.35,-0.83,0.02,-0.51,0.69
43,CHEMBL3265021~CHEMBL3265011,2.25,3.21,0.03,3.29,0.79
44,CHEMBL3265021~CHEMBL3265013,1.08,0.04,0.03,-0.0,0.6
45,CHEMBL3265021~CHEMBL3265024,-0.9,-0.25,0.03,-0.11,0.71
46,CHEMBL3265021~CHEMBL3265035,-0.19,0.21,0.04,0.14,0.56
47,CHEMBL3265023~CHEMBL3265022,-0.31,0.71,0.02,0.62,0.55
48,CHEMBL3265024~CHEMBL3265008,2.01,0.58,0.03,0.9,0.71
49,CHEMBL3265025~CHEMBL3265008,0.42,1.05,0.03,0.91,0.46
50,CHEMBL3265025~CHEMBL3265020,-0.81,0.42,0.03,0.55,0.44
51,CHEMBL3265027~CHEMBL3265010,0.19,-0.79,0.05,-0.83,0.98
52,CHEMBL3265027~CHEMBL3265033,-1.51,-2.08,0.04,-2.09,0.57
53,CHEMBL3265031~CHEMBL3265024,0.28,0.34,0.05,0.46,0.18
54,CHEMBL3265031~CHEMBL3265037,-0.7,0.16,0.04,0.12,0.2
55,CHEMBL3265032~CHEMBL3265022,0.27,0.68,0.04,0.67,0.36
56,CHEMBL3265032~CHEMBL3265027,0.73,1.5,0.03,1.48,0.63
