,lig,EXP,Pred dG,Pred dG err
0,5m,-12.69,-12.01,0.34
1,7,-8.4,-9.03,0.41
2,5p,-10.5,-11.92,0.25
3,5b,-10.47,-10.82,0.25
4,5c,-9.96,-9.98,0.26
5,8b,-11.93,-12.5,0.44
6,5a,-10.76,-10.41,0.19
7,3a,-11.0,-11.43,0.64
8,5f,-10.26,-10.98,0.25
9,1a,-8.55,-6.91,0.61
10,5n,-10.71,-11.38,0.21
11,8a,-10.81,-11.02,0.4
12,5o,-12.04,-12.28,0.29
13,5g,-10.81,-10.94,0.32
14,8c,-10.12,-9.12,0.57
15,5l,-10.09,-11.4,0.24
16,5j,-11.08,-11.5,0.27
17,5d,-10.89,-10.91,0.32
18,1b,-9.94,-8.81,0.26
19,8d,-12.49,-9.78,0.54
20,8f,-11.81,-11.51,0.47
21,5k,-10.96,-11.54,0.26
22,8e,-10.24,-10.92,0.41
23,5i,-12.08,-11.88,0.23
24,5h,-10.05,-9.14,0.29
25,3b,-11.52,-12.12,0.68
26,5e,-10.11,-10.02,0.19
