,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,5b~5c,0.51,0.87,0.02,0.84,0.35
1,5b~5o,-1.57,-1.41,0.04,-1.46,0.58
2,5l~5p,-0.41,-0.65,0.04,-0.52,0.36
3,8e-neu~8c-neu,,0.67,0.03,0.44,0.72
4,8b~8d,-0.56,-0.28,0.03,-0.14,0.79
5,8d~8c,2.37,0.66,0.02,0.82,0.89
6,8d-neu~8f-neu,,-0.73,0.03,-0.48,0.79
7,8e-neu~8a-neu,,0.95,0.04,1.14,0.65
8,8e-neu~8b-neu,,-0.37,0.04,-0.34,0.53
9,1b~5c,-0.02,-1.18,0.04,-1.17,0.35
10,5g~5h,0.76,1.83,0.02,1.8,0.73
11,5i~5o,0.04,-0.43,0.04,-0.4,0.28
12,5k~5d,0.07,0.6,0.02,0.63,0.86
13,8a-neu~5d,,0.7,0.03,0.61,0.84
14,8b-neu~8b,,3.81,0.04,3.71,0.78
15,8e-neu~8e,,4.0,0.04,4.09,0.51
16,5a~5c,0.8,0.41,0.02,0.43,0.34
17,5e~5k,-0.85,-1.75,0.02,-1.52,0.36
18,5g~5d,-0.08,0.04,0.02,0.03,0.73
19,8a~5d,-0.08,-3.61,0.04,-2.99,1.16
20,8c~5k,-0.84,-2.29,0.04,-2.93,0.89
21,8d-neu~8c-neu,,0.78,0.04,0.57,0.8
22,5a~5d,-0.13,-0.4,0.02,-0.5,0.73
23,5a~5k,-0.2,-1.0,0.02,-1.13,0.48
24,5e~5h,0.06,1.0,0.03,0.88,0.3
25,8b-neu~8d-neu,,0.12,0.03,0.21,0.78
26,8e~5k,-0.72,-3.42,0.04,-2.97,0.89
27,8f-neu~8a-neu,,1.59,0.04,1.75,0.84
28,1b~5d,-0.95,-1.98,0.03,-2.11,1.01
29,1b~5h,-0.11,-0.44,0.04,-0.34,0.83
30,3a~7,2.6,2.79,0.03,2.39,1.03
31,7~5d,-2.49,-2.04,0.03,-1.88,1.03
32,8b-neu~8f-neu,,-0.38,0.03,-0.27,0.74
33,1a~5d,-2.34,-3.66,0.03,-4.01,1.16
34,5e~5p,-0.39,-1.87,0.04,-1.9,0.36
35,8b-neu~8a-neu,,1.55,0.04,1.48,0.65
36,8e~8c,0.12,0.1,0.03,-0.04,0.71
37,8f-neu~8f,,4.09,0.04,3.99,0.83
38,5f~5l,0.17,-0.63,0.02,-0.42,0.4
39,3a~5m,-1.69,-1.03,0.03,-0.59,1.03
40,5f~5a,-0.5,0.73,0.02,0.58,0.4
41,5f~5i,-1.82,-0.84,0.02,-0.9,0.27
42,5l~5j,-0.99,-0.21,0.02,-0.1,0.4
43,7~3b,-3.12,-3.14,0.03,-3.09,0.76
44,8b~8f,0.12,0.5,0.04,0.01,0.96
45,8c-neu~5k,,0.46,0.03,0.68,0.88
46,8c-neu~8c,,4.27,0.04,3.61,0.88
47,8d-neu~1a,,5.73,0.04,5.88,0.8
48,8d-neu~8d,,3.46,0.04,3.36,0.79
49,3a~3b,-0.52,-0.65,0.02,-0.7,0.76
50,5e~5i,-1.97,-1.89,0.02,-1.86,0.28
51,5g~5b,0.34,-0.13,0.02,0.12,0.53
52,5i~5a,1.32,1.43,0.02,1.47,0.73
53,5i~5m,-0.61,-0.02,0.02,-0.13,0.73
54,5p~5n,-0.21,0.44,0.02,0.54,0.28
55,8e~8b,-1.69,-0.7,0.03,-0.72,0.78
56,8e-neu~5k,,1.21,0.03,1.12,0.72
57,8f-neu~5m,,0.98,0.03,1.26,0.84
58,1b~1a,1.39,1.8,0.02,1.9,1.01
59,5a~5j,-0.32,-0.92,0.02,-1.09,0.46
60,5a~5n,0.05,-0.95,0.04,-0.97,0.31
61,5e~5a,-0.65,-0.29,0.02,-0.39,0.3
62,5e~5n,-0.6,-1.34,0.04,-1.36,0.35
63,5g~5a,0.05,0.73,0.02,0.53,0.51
64,5o~5m,-0.65,0.28,0.03,0.27,0.58
65,7~8a,-2.41,1.21,0.05,1.11,0.97
66,8a-neu~8a,,3.49,0.04,3.6,0.91
67,1b~5n,-0.77,-2.49,0.04,-2.57,0.29
68,5b~5j,-0.61,-0.98,0.02,-0.68,0.58
69,5b~5n,-0.24,-0.58,0.04,-0.56,0.35
70,5d~5m,-1.8,-1.22,0.02,-1.1,0.99
71,5h~5m,-2.64,-2.82,0.03,-2.87,0.83
72,5l~5e,-0.02,1.41,0.03,1.38,0.31
73,7~5j,-2.68,-2.24,0.03,-2.47,0.58
74,7~8a-neu,,-2.22,0.04,-2.49,0.91
75,8b~8a,1.12,1.12,0.02,1.37,0.96
76,8d~1a,3.94,3.12,0.05,2.52,1.16
77,8d~8f,0.68,-0.33,0.03,0.15,1.16
78,8e~8a,-0.57,0.85,0.03,0.65,0.89
79,8f~5m,-0.88,-2.06,0.04,-2.73,1.03
80,8f~8a,1.0,0.8,0.03,1.36,1.16
