,lig,EXP,Pred dG,Pred dG err
0,5d,-10.89,-10.53,0.22
1,5i,-12.08,-13.47,0.21
2,5b,-10.47,-12.28,0.19
3,8c,-10.12,-8.51,0.63
4,8b,-11.93,-9.3,0.46
5,3b,-11.52,-11.4,0.45
6,1a,-8.55,-8.57,0.35
7,3a,-11.0,-12.49,0.37
8,5e,-10.11,-9.63,0.19
9,5o,-12.04,-11.99,0.21
10,8a,-10.81,-7.86,0.41
11,5l,-10.09,-12.66,0.21
12,1b,-9.94,-10.15,0.24
13,5a,-10.76,-11.53,0.18
14,8d,-12.49,-9.6,0.43
15,5m,-12.69,-11.96,0.22
16,5p,-10.5,-11.04,0.23
17,5n,-10.71,-10.76,0.21
18,5f,-10.26,-12.23,0.21
19,5c,-9.96,-11.17,0.25
20,7,-8.4,-8.67,0.33
21,5k,-10.96,-10.82,0.28
22,5j,-11.08,-11.37,0.24
23,5h,-10.05,-12.05,0.25
24,8f,-11.81,-9.51,0.42
25,8e,-10.24,-8.06,0.54
26,5g,-10.81,-12.68,0.21
