,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,1a~5d,-2.34,-1.83,0.03,-1.96,0.55
1,1b~1a,1.39,1.75,0.02,1.59,0.52
2,1b~5c,-0.02,-0.94,0.03,-1.01,0.4
3,1b~5d,-0.95,-0.15,0.03,-0.37,0.54
4,1b~5h,-0.11,-2.2,0.04,-1.98,0.54
5,1b~5n,-0.77,-0.7,0.04,-0.59,0.44
6,3a~3b,-0.52,1.16,0.02,1.08,0.49
7,3a~5m,-1.69,0.36,0.03,0.52,0.5
8,3a~7,2.6,3.9,0.03,3.81,0.5
9,5a~5c,0.8,0.31,0.02,0.36,0.4
10,5a~5d,-0.13,0.76,0.02,0.98,0.54
11,5a~5j,-0.32,0.42,0.02,0.18,0.49
12,5a~5k,-0.2,0.65,0.02,0.72,0.5
13,5a~5n,0.05,0.73,0.04,0.78,0.4
14,5b~5c,0.51,1.08,0.02,1.1,0.33
15,5b~5j,-0.61,0.79,0.02,0.92,0.44
16,5b~5n,-0.24,1.67,0.04,1.52,0.44
17,5b~5o,-1.57,0.36,0.04,0.3,0.28
18,5d~5m,-1.8,-1.39,0.02,-1.43,0.62
19,5e~5a,-0.65,-2.01,0.02,-1.92,0.51
20,5e~5h,0.06,-2.17,0.03,-2.39,0.51
21,5e~5i,-1.97,-3.76,0.02,-3.83,0.43
22,5e~5k,-0.85,-1.31,0.02,-1.19,0.34
23,5e~5n,-0.6,-1.13,0.04,-1.13,0.4
24,5e~5p,-0.39,-1.32,0.04,-1.41,0.31
25,5f~5a,-0.5,0.62,0.02,0.69,0.27
26,5f~5i,-1.82,-1.22,0.02,-1.22,0.26
27,5f~5l,0.17,-0.37,0.02,-0.43,0.27
28,5g~5a,0.05,1.2,0.02,1.13,0.42
29,5g~5b,0.34,0.45,0.02,0.39,0.29
30,5g~5d,-0.08,2.06,0.02,2.13,0.42
31,5g~5h,0.76,0.59,0.02,0.65,0.33
32,5h~5m,-2.64,-0.13,0.03,0.09,0.54
33,5i~5a,1.32,1.82,0.02,2.04,0.54
34,5i~5m,-0.61,1.73,0.02,1.51,0.54
35,5i~5o,0.04,1.39,0.04,1.47,0.28
36,5k~5d,0.07,0.42,0.02,0.28,0.91
37,5l~5e,-0.02,3.21,0.03,3.04,0.33
38,5l~5j,-0.99,1.27,0.02,1.29,0.33
39,5l~5p,-0.41,1.54,0.04,1.63,0.29
40,5o~5m,-0.65,-0.0,0.03,0.02,0.27
41,5p~5n,-0.21,0.28,0.02,0.28,0.31
42,7~3b,-3.12,-2.81,0.03,-2.73,0.49
43,7~5d,-2.49,-2.05,0.02,-1.86,0.91
44,7~5j,-2.68,-2.79,0.03,-2.7,0.49
45,7~8a,-2.41,1.25,0.05,0.81,0.91
46,8a~5d,-0.08,-2.61,0.04,-2.67,0.76
47,8b~8a,1.12,1.44,0.02,1.44,0.68
48,8b~8d,-0.56,-0.3,0.03,-0.31,0.77
49,8b~8f,0.12,-0.19,0.04,-0.2,0.82
50,8c~5k,-0.84,-1.44,0.04,-2.3,1.13
51,8d~1a,3.94,1.0,0.05,1.03,0.55
52,8d~8c,2.37,1.4,0.02,1.09,0.93
53,8d~8f,0.68,-0.17,0.03,0.1,0.93
54,8e~5k,-0.72,-3.29,0.04,-2.76,1.13
55,8e~8a,-0.57,0.15,0.03,0.19,0.93
56,8e~8b,-1.69,-1.22,0.03,-1.24,0.82
57,8e~8c,0.12,0.1,0.03,-0.45,1.13
58,8f~5m,-0.88,-2.37,0.04,-2.46,0.62
59,8f~8a,1.0,1.3,0.03,1.64,0.93
