,lig,EXP,Pred dG,Pred dG err
0,CHEMBL3402743_42,-10.06,-8.56,0.48
1,CHEMBL3402741_400,-8.73,-11.3,0.75
2,CHEMBL3402742_23,-10.42,-10.66,0.53
3,CHEMBL3402750_400,-8.73,-9.4,0.35
4,CHEMBL3402759_5_7,-11.25,-11.62,0.76
5,CHEMBL3402758_10,-10.91,-10.78,0.66
6,CHEMBL3402748_5300,-7.2,-7.54,0.38
7,CHEMBL3402744_300,-8.9,-7.79,0.51
8,CHEMBL3402757_6_5,-11.17,-10.7,0.8
9,CHEMBL3402749_500,-8.6,-9.17,0.4
10,CHEMBL3402763_90,-9.61,-10.46,0.57
11,CHEMBL3402762_1,-12.28,-14.14,0.68
12,CHEMBL3402754_40,-10.09,-10.53,0.37
13,CHEMBL3402756_2_7,-11.69,-10.58,0.55
14,CHEMBL3402761_1,-12.28,-12.72,0.36
15,CHEMBL3402745_200,-9.14,-8.65,0.45
16,CHEMBL3402764_90,-9.61,-7.72,0.64
17,CHEMBL3402751_2100,-7.75,-7.04,0.39
18,CHEMBL3402760_1,-12.28,-11.91,0.55
19,CHEMBL3402765_11-charged-pKa-8_1,-10.86,-9.29,0.56
20,CHEMBL3402753_200,-9.14,-9.65,0.34
21,CHEMBL3402747_3400,-7.46,-6.57,0.36
22,CHEMBL3402755_4200,-7.34,-8.72,0.35
23,CHEMBL3402752_30000,-6.17,-6.17,0.45
