,lig,EXP,Pred dG,Pred dG err
0,CAT-4i,-8.26,-7.9,0.31
1,CAT-13m,-8.76,-9.67,0.25
2,CAT-17i,-9.47,-10.44,0.23
3,CAT-4m,-9.15,-8.54,0.24
4,CAT-13d,-10.47,-10.67,0.25
5,CAT-13c,-9.32,-9.16,0.41
6,CAT-4l,-9.34,-7.64,0.36
7,CAT-17b,-10.02,-10.92,0.34
8,CAT-13e,-9.96,-10.89,0.38
9,CAT-4c,-7.85,-8.31,0.37
10,CAT-17c,-9.86,-10.32,0.44
11,CAT-13i,-9.27,-10.23,0.33
12,CAT-13n,-8.54,-7.51,0.25
13,CAT-17h,-10.33,-10.74,0.32
14,CAT-13a,-8.84,-8.03,0.2
15,CAT-4j,-9.02,-7.72,0.34
16,CAT-13h,-9.63,-10.04,0.41
17,CAT-17f,-9.42,-10.2,0.33
18,CAT-4k,-7.85,-7.56,0.29
19,CAT-4a,-7.93,-7.98,0.29
20,CAT-13j,-8.73,-7.85,0.3
21,CAT-4o,-9.38,-7.91,0.27
22,CAT-4n,-9.09,-8.33,0.31
23,CAT-13o,-8.54,-9.77,0.32
24,CAT-4d,-9.11,-10.3,0.37
25,CAT-17g,-9.74,-9.21,0.23
26,CAT-13b,-9.12,-8.72,0.4
27,CAT-17a,-10.73,-11.34,0.29
28,CAT-17e,-10.02,-10.57,0.33
29,CAT-4b,-9.63,-9.27,0.29
30,CAT-4p,-10.08,-8.98,0.33
31,CAT-13k,-9.7,-8.74,0.25
32,CAT-13f,-9.09,-9.71,0.33
33,CAT-17d,-9.42,-8.84,0.33
34,CAT-13g,-9.09,-8.83,0.34
35,CAT-24,-11.35,-13.3,0.43
