,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,CAT-13a~CAT-13m,0.08,-1.8,0.04,-1.64,0.32
1,CAT-13a~CAT-17g,-0.9,-1.28,0.05,-1.18,0.42
2,CAT-13a~CAT-17i,-0.63,-2.31,0.05,-2.41,0.42
3,CAT-13b~CAT-17g,-0.62,-0.32,0.05,-0.48,0.51
4,CAT-13c~CAT-17i,-0.15,-1.04,0.05,-1.27,0.53
5,CAT-13d~CAT-13b,1.35,2.11,0.04,1.95,0.51
6,CAT-13d~CAT-13f,1.38,1.1,0.04,0.96,0.38
7,CAT-13d~CAT-13h,0.84,0.41,0.02,0.63,0.51
8,CAT-13d~CAT-13i,1.2,0.36,0.04,0.44,0.38
9,CAT-13d~CAT-17a,-0.26,-0.63,0.02,-0.67,0.3
10,CAT-13d~CAT-17d,1.05,1.75,0.02,1.83,0.38
11,CAT-13d~CAT-17h,0.14,0.01,0.02,-0.07,0.3
12,CAT-13e~CAT-17g,0.22,1.92,0.05,1.68,0.48
13,CAT-13e~CAT-17i,0.49,0.21,0.05,0.45,0.48
14,CAT-13g~CAT-17g,-0.65,-0.45,0.05,-0.38,0.4
15,CAT-13g~CAT-17i,-0.38,-1.53,0.05,-1.6,0.4
16,CAT-13h~CAT-17i,0.16,-0.62,0.03,-0.4,0.51
17,CAT-13j~CAT-4o,-0.65,-0.08,0.03,-0.06,0.25
18,CAT-13k~CAT-4b,0.07,-0.52,0.03,-0.53,0.25
19,CAT-13k~CAT-4d,0.59,-1.74,0.03,-1.56,0.41
20,CAT-13n~CAT-13a,-0.3,-0.67,0.04,-0.51,0.32
21,CAT-13n~CAT-13k,-1.16,-1.25,0.03,-1.23,0.2
22,CAT-13n~CAT-4i,0.28,-0.22,0.03,-0.38,0.32
23,CAT-13o~CAT-17h,-1.79,-1.05,0.05,-0.97,0.3
24,CAT-13o~CAT-17i,-0.93,-0.59,0.05,-0.67,0.3
25,CAT-17b~CAT-13d,-0.45,0.31,0.02,0.26,0.34
26,CAT-17b~CAT-17e,0.0,0.3,0.02,0.35,0.34
27,CAT-17c~CAT-17e,-0.16,-0.45,0.03,-0.25,0.53
28,CAT-17f~CAT-17e,-0.6,-0.33,0.02,-0.37,0.33
29,CAT-17g~CAT-13c,0.42,0.28,0.05,0.05,0.53
30,CAT-17g~CAT-13i,0.47,-0.94,0.05,-1.02,0.38
31,CAT-17g~CAT-17c,-0.12,-1.32,0.02,-1.12,0.53
32,CAT-17g~CAT-17d,0.32,0.44,0.02,0.36,0.38
33,CAT-17g~CAT-17f,0.32,-0.95,0.02,-0.99,0.33
34,CAT-17i~CAT-13f,0.38,0.58,0.05,0.72,0.38
35,CAT-17i~CAT-17a,-1.26,-0.95,0.02,-0.91,0.3
36,CAT-24~CAT-17e,1.33,2.95,0.03,2.73,0.53
37,CAT-24~CAT-17i,1.88,2.65,0.02,2.87,0.53
38,CAT-4a~CAT-13k,-1.77,-0.83,0.03,-0.76,0.25
39,CAT-4a~CAT-4o,-1.45,0.14,0.02,0.07,0.25
40,CAT-4c~CAT-4o,-1.53,0.63,0.03,0.4,0.41
41,CAT-4i~CAT-13m,-0.5,-1.6,0.03,-1.76,0.32
42,CAT-4j~CAT-4o,-0.36,-0.3,0.02,-0.18,0.35
43,CAT-4k~CAT-4o,-1.53,-0.33,0.03,-0.35,0.24
44,CAT-4l~CAT-13k,-0.36,-1.19,0.03,-1.1,0.41
45,CAT-4m~CAT-13j,0.42,0.67,0.03,0.69,0.25
46,CAT-4m~CAT-13k,-0.55,-0.23,0.03,-0.2,0.38
47,CAT-4m~CAT-13m,0.39,-1.15,0.03,-1.13,0.2
48,CAT-4m~CAT-4c,1.3,0.46,0.03,0.23,0.41
49,CAT-4m~CAT-4j,0.13,0.7,0.02,0.82,0.35
50,CAT-4m~CAT-4k,1.3,1.0,0.03,0.98,0.24
51,CAT-4m~CAT-4l,-0.19,0.81,0.03,0.9,0.41
52,CAT-4m~CAT-4n,0.06,0.26,0.02,0.21,0.29
53,CAT-4m~CAT-4p,-0.93,-0.44,0.02,-0.43,0.34
54,CAT-4n~CAT-13k,-0.61,-0.36,0.03,-0.41,0.29
55,CAT-4o~CAT-4b,-0.25,-1.38,0.03,-1.37,0.25
56,CAT-4o~CAT-4d,0.27,-2.21,0.03,-2.39,0.41
57,CAT-4p~CAT-13k,0.38,0.23,0.02,0.24,0.34
