,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,17~1h1q,-1.14,0.61,0.02,0.69,0.28
1,17~21,-0.79,0.22,0.02,0.15,0.28
2,17~22,-0.82,0.18,0.02,0.16,0.24
3,1h1r~1oi9,-2.07,-2.27,0.03,-2.35,0.28
4,1h1r~21,-0.16,-0.13,0.02,-0.06,0.28
5,1h1s~1oiy,1.46,1.37,0.04,1.4,0.36
6,1h1s~26,2.82,2.7,0.03,2.67,0.36
7,1oi9~20,1.02,1.36,0.03,1.44,0.28
8,1oiu~1h1q,0.9,3.71,0.04,3.69,0.2
9,1oiu~26,0.65,3.08,0.04,3.1,0.2
10,1oiy~1h1q,1.61,1.86,0.03,1.86,0.27
11,1oiy~1oi9,0.05,-0.87,0.03,-0.96,0.47
12,1oiy~29,-0.09,0.23,0.04,0.11,0.43
13,1oiy~31,0.25,0.2,0.03,0.25,0.37
14,1oiy~32,0.04,-0.51,0.04,-0.32,0.47
15,20~1h1q,0.54,1.3,0.02,1.38,0.28
16,22~1h1r,0.19,0.07,0.02,0.05,0.24
17,26~1h1q,0.25,0.74,0.03,0.59,0.28
18,26~1oi9,-1.31,-2.48,0.02,-2.23,0.47
19,28~26,2.68,2.29,0.03,2.5,0.47
20,28~31,1.57,1.7,0.03,1.49,0.47
21,29~26,1.45,1.28,0.03,1.16,0.43
22,30~26,1.38,0.63,0.03,0.65,0.31
23,30~31,0.27,-0.34,0.03,-0.36,0.31
24,31~32,-0.21,-0.38,0.04,-0.57,0.47
