,lig,EXP,Pred dG,Pred dG err
0,18635-1,-7.29,-7.98,0.29
1,18629-1,-8.67,-8.65,0.27
2,18628-1,-8.7,-7.79,0.25
3,18631-1,-9.41,-8.48,0.23
4,18630-1,-9.14,-8.68,0.16
5,18633-1,-9.17,-8.98,0.26
6,18637-1,-10.14,-11.0,0.35
7,18658-1,-9.7,-9.66,0.21
8,18627-1,-8.48,-8.87,0.17
9,17124-1,-9.68,-10.76,0.33
10,18634-1,-9.99,-9.88,0.17
11,18632-1,-9.08,-8.66,0.25
12,18626-1,-8.87,-8.88,0.12
13,18624-1,-8.49,-8.02,0.16
14,18660-1,-8.7,-9.1,0.27
15,18638-1,-10.09,-10.62,0.29
16,18639-1,-9.74,-10.02,0.21
17,18625-1,-8.11,-7.51,0.26
18,18652-1,-10.68,-10.56,0.32
19,18636-1,-7.51,-7.33,0.3
20,18659-1,-9.47,-9.68,0.33
