,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,17124-1~18631-1,0.27,2.16,0.03,2.27,0.45
1,17124-1~18634-1,-0.31,0.99,0.03,0.88,0.45
2,18626-1~18624-1,0.38,0.91,0.02,0.86,0.47
3,18626-1~18625-1,0.76,1.66,0.02,1.37,0.37
4,18626-1~18627-1,0.39,-0.13,0.02,0.02,0.35
5,18626-1~18628-1,0.17,1.01,0.02,1.09,0.34
6,18626-1~18630-1,-0.27,0.25,0.02,0.2,0.14
7,18626-1~18632-1,-0.21,0.39,0.02,0.22,0.33
8,18626-1~18634-1,-1.12,-0.88,0.03,-1.0,0.35
9,18626-1~18658-1,-0.83,-0.99,0.03,-0.78,0.35
10,18626-1~18659-1,-0.6,-1.05,0.03,-0.8,0.47
11,18626-1~18660-1,0.17,-0.21,0.04,-0.22,0.37
12,18627-1~18630-1,-0.66,0.13,0.02,0.18,0.14
13,18627-1~18633-1,-0.69,-0.16,0.02,-0.12,0.34
14,18628-1~18624-1,0.21,-0.32,0.02,-0.24,0.34
15,18629-1~18624-1,0.18,0.58,0.02,0.63,0.35
16,18629-1~18627-1,0.19,-0.16,0.02,-0.21,0.35
17,18631-1~18624-1,0.92,0.13,0.02,0.46,0.47
18,18631-1~18652-1,-1.27,-1.98,0.04,-2.07,0.43
19,18631-1~18660-1,0.71,-0.63,0.04,-0.62,0.37
20,18632-1~18624-1,0.59,0.8,0.02,0.63,0.33
21,18633-1~18624-1,0.68,0.92,0.02,0.96,0.34
22,18634-1~18637-1,-0.15,-1.26,0.03,-1.12,0.47
23,18634-1~18652-1,-0.69,-0.77,0.04,-0.68,0.43
24,18635-1~18624-1,-1.2,0.09,0.02,-0.05,0.36
25,18635-1~18625-1,-0.82,0.33,0.02,0.47,0.36
26,18636-1~18624-1,-0.98,-0.54,0.03,-0.7,0.37
27,18636-1~18625-1,-0.6,-0.34,0.02,-0.18,0.37
28,18637-1~18631-1,0.73,2.38,0.03,2.52,0.47
29,18638-1~18634-1,0.1,0.56,0.03,0.75,0.35
30,18638-1~18658-1,0.39,1.15,0.04,0.96,0.35
31,18639-1~18634-1,-0.25,0.12,0.03,0.15,0.19
32,18639-1~18658-1,0.04,0.39,0.03,0.36,0.19
33,18659-1~18634-1,-0.52,-0.44,0.02,-0.19,0.47
