,lig,EXP,Pred dG,Pred dG err
0,54,-9.78,-9.57,0.42
1,41,-7.13,-8.66,0.54
2,23,-8.83,-7.43,0.32
3,35,-8.81,-8.03,0.26
4,45,-8.95,-8.17,0.34
5,43,-7.03,-7.28,0.66
6,51,-8.45,-6.39,0.41
7,34,-6.87,-7.27,0.63
8,48,-6.66,-4.79,0.65
9,27,-6.12,-5.9,0.26
10,61,-8.08,-8.79,0.76
11,57,-9.04,-7.16,0.41
12,28,-6.62,-5.86,0.46
13,47,-5.78,-6.41,0.7
14,49,-8.36,-8.1,0.82
15,26,-8.24,-6.64,0.37
16,44,-8.67,-7.56,0.47
17,46,-7.6,-8.19,0.47
18,42,-8.9,-6.94,0.36
19,39,-7.03,-6.97,0.48
20,65,-8.41,-10.7,0.74
21,64,-9.5,-9.14,0.37
22,33,-6.88,-7.51,0.45
23,58,-9.41,-11.8,0.77
24,68,-7.69,-6.71,0.45
25,60,-8.92,-9.5,0.43
26,29,-6.94,-7.18,0.66
27,40,-7.25,-9.07,0.7
28,56,-9.26,-9.05,0.57
29,30,-7.85,-6.6,0.46
30,67,-7.58,-9.32,0.33
31,36,-8.18,-7.91,0.7
32,37,-8.95,-8.45,0.55
33,63,-9.06,-11.39,0.75
34,31,-7.92,-7.79,0.51
35,38,-7.02,-9.02,0.77
36,62,-7.96,-7.0,0.46
37,52,-9.23,-9.33,0.7
38,66,-8.43,-8.67,0.36
39,32,-6.58,-6.67,0.41
40,50,-9.33,-8.53,0.79
41,53,-9.96,-11.79,0.54
