,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,26~44,-0.43,-0.75,0.04,-0.92,0.49
1,26~57,-0.8,-0.51,0.04,-0.51,0.36
2,26~64,-1.26,-2.47,0.04,-2.49,0.17
3,27~23,-2.71,-1.54,0.06,-1.52,0.31
4,27~45,-2.83,-2.25,0.03,-2.27,0.31
5,27~46,-1.48,-2.34,0.03,-2.29,0.6
6,28~27,0.5,0.02,0.02,-0.05,0.63
7,28~35,-2.19,-2.05,0.03,-2.17,0.77
8,28~47,0.84,-0.74,0.03,-0.55,0.77
9,29~27,0.82,2.0,0.03,1.28,1.14
10,29~35,-1.87,-1.33,0.03,-0.85,1.14
11,29~40,-0.31,-2.12,0.04,-1.88,0.8
12,30~27,1.73,0.64,0.02,0.7,0.68
13,30~35,-0.96,-1.32,0.02,-1.43,0.85
14,30~40,0.6,-2.23,0.03,-2.47,0.8
15,30~48,1.19,1.52,0.03,1.81,0.85
16,31~35,-0.89,-0.39,0.02,-0.24,0.65
17,32~34,-0.29,-0.42,0.02,-0.6,0.82
18,32~46,-1.02,-1.47,0.02,-1.52,0.6
19,33~27,0.76,1.63,0.02,1.6,0.62
20,35~33,1.93,0.55,0.02,0.52,0.62
21,35~34,1.94,0.58,0.03,0.76,0.82
22,35~36,0.63,-0.17,0.01,0.12,0.93
23,35~37,-0.14,-0.45,0.02,-0.42,0.72
24,35~39,1.78,1.18,0.03,1.06,0.58
25,35~53,-1.15,-3.77,0.03,-3.76,0.7
26,35~60,-0.11,-1.97,0.06,-1.47,1.03
27,38~35,-1.79,0.35,0.03,0.99,1.05
28,38~60,-1.9,0.17,0.07,-0.47,1.05
29,39~32,0.45,0.43,0.03,0.31,0.58
30,41~32,0.55,1.98,0.03,1.99,0.69
31,41~35,-1.68,0.64,0.04,0.63,0.69
32,42~51,0.45,0.49,0.02,0.56,0.38
33,42~64,-0.6,-2.22,0.05,-2.2,0.17
34,43~27,0.91,1.19,0.03,1.38,0.77
35,43~47,1.25,1.06,0.02,0.87,0.77
36,44~23,-0.16,0.3,0.06,0.13,0.49
37,48~27,0.54,-1.41,0.03,-1.12,0.85
38,49~35,-0.45,0.57,0.02,0.07,1.14
39,49~67,0.78,-1.73,0.04,-1.23,1.14
40,50~60,0.41,-1.1,0.06,-0.97,1.05
41,51~45,-0.5,-1.85,0.03,-1.78,0.38
42,52~60,0.31,-0.12,0.06,-0.16,0.9
43,54~23,0.95,2.3,0.05,2.14,0.38
44,54~42,0.88,2.47,0.02,2.63,0.38
45,56~35,0.45,0.78,0.06,1.02,0.72
46,56~60,0.34,-0.2,0.06,-0.44,0.72
47,57~23,0.21,-0.27,0.06,-0.27,0.36
48,58~60,0.49,2.2,0.05,2.31,1.02
49,60~36,0.74,1.87,0.06,1.58,0.93
50,61~60,-0.84,-0.49,0.02,-0.7,1.0
51,62~26,-0.28,0.55,0.04,0.36,0.49
52,62~45,-0.99,-1.36,0.07,-1.17,0.49
53,63~60,0.14,1.84,0.02,1.9,0.98
54,65~60,-0.51,1.16,0.02,1.21,0.98
55,65~67,0.83,1.43,0.04,1.38,0.98
56,66~23,-0.4,1.18,0.02,1.25,0.22
57,66~42,-0.47,1.8,0.06,1.73,0.22
58,67~27,1.46,3.09,0.05,3.42,1.14
59,67~31,-0.34,1.39,0.05,1.54,0.65
60,67~32,1.0,2.78,0.05,2.66,0.82
61,67~35,-1.23,1.19,0.04,1.29,0.72
62,67~37,-1.37,0.91,0.04,0.88,0.72
63,67~50,-1.75,0.66,0.04,0.79,1.05
64,67~52,-1.65,0.03,0.04,-0.01,0.9
65,67~53,-2.38,-2.45,0.03,-2.46,0.7
66,67~58,-1.83,-2.59,0.03,-2.48,1.02
67,67~61,-0.5,0.74,0.04,0.53,1.0
68,67~63,-1.48,-2.13,0.04,-2.07,0.98
69,68~23,-1.14,-0.96,0.04,-0.72,0.49
70,68~45,-1.26,-1.22,0.05,-1.46,0.49
