,lig,EXP,Pred dG,Pred dG err
0,23482,-10.01,-9.84,0.34
1,23474,-9.11,-9.13,0.51
2,23467,-7.34,-7.77,0.34
3,23471,-7.75,-7.76,0.61
4,23477,-8.85,-8.99,0.31
5,20670-2qbs,-9.08,-9.21,0.32
6,23484,-7.75,-7.9,0.41
7,23483,-9.87,-10.16,0.36
8,23330-2qbq,-10.13,-9.96,0.51
9,23479,-9.14,-9.26,0.33
10,23466,-7.85,-7.52,0.31
11,23476,-9.41,-9.75,0.65
12,23468,-7.75,-7.79,0.69
13,23472,-8.65,-9.04,1.0
14,23485,-11.01,-8.93,0.43
15,20669-2qbr,-8.61,-8.21,0.65
16,20667-2qbp,-11.42,-10.51,0.39
17,23480,-8.72,-9.86,0.46
18,23470,-7.72,-8.18,0.69
19,23473,-8.39,-9.45,0.76
20,23475,-8.72,-8.48,0.62
21,23469,-7.72,-8.43,0.74
22,23486,-12.47,-11.34,0.4
