,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,20667-2qbp~23479,2.28,1.46,0.04,1.27,0.57
1,20667-2qbp~23482,1.41,0.74,0.02,0.68,0.5
2,20667-2qbp~23484,3.67,2.21,0.02,2.61,0.57
3,20667-2qbp~23485,0.41,1.62,0.01,1.57,0.46
4,20667-2qbp~23486,-1.05,-0.74,0.01,-0.84,0.4
5,20669-2qbr~23466,0.76,0.95,0.03,0.69,0.97
6,20669-2qbr~23472,-0.04,-0.29,0.04,-0.82,1.2
7,20670-2qbs~23330-2qbq,-1.05,-1.18,0.03,-0.75,0.63
8,20670-2qbs~23466,1.23,1.92,0.03,1.69,0.63
9,20670-2qbs~23477,0.23,0.35,0.01,0.22,0.62
10,20670-2qbs~23479,-0.06,-0.03,0.03,-0.05,0.44
11,20670-2qbs~23482,-0.93,-0.5,0.03,-0.64,0.62
12,20670-2qbs~23483,-0.79,-1.04,0.03,-0.95,0.41
13,23466~23475,-0.87,-0.89,0.03,-0.96,0.85
14,23467~23466,-0.51,0.06,0.02,0.24,0.97
15,23467~23468,-0.41,-0.11,0.03,-0.02,0.86
16,23467~23469,-0.38,-0.18,0.03,-0.66,0.97
17,23467~23470,-0.38,-0.5,0.03,-0.41,0.86
18,23467~23473,-1.05,-1.9,0.02,-1.68,0.97
19,23467~23474,-1.77,-1.22,0.03,-1.36,0.66
20,23467~23475,-1.38,-0.78,0.03,-0.71,0.85
21,23467~23476,-2.07,-2.1,0.03,-1.98,0.89
22,23469~20669-2qbr,-0.89,1.23,0.02,0.22,1.2
23,23469~23472,-0.93,-1.14,0.04,-0.61,1.2
24,23471~23466,-0.1,0.06,0.03,0.23,0.86
25,23471~23468,0.0,0.05,0.02,-0.04,0.86
26,23471~23470,0.03,-0.34,0.02,-0.43,0.86
27,23473~20669-2qbr,-0.22,1.01,0.03,1.23,0.97
28,23474~23466,1.26,1.75,0.03,1.61,0.66
29,23476~23466,1.56,2.11,0.03,2.23,0.89
30,23477~23330-2qbq,-1.28,-0.55,0.04,-0.98,0.63
31,23477~23466,1.0,1.37,0.03,1.46,0.76
32,23477~23467,1.51,1.08,0.03,1.22,0.76
33,23477~23479,-0.29,-0.29,0.03,-0.27,0.62
34,23477~23482,-1.16,-0.98,0.03,-0.86,0.55
35,23477~23483,-1.02,-1.1,0.03,-1.17,0.43
36,23480~23479,-0.42,0.71,0.02,0.6,0.5
37,23480~23482,-1.29,-0.09,0.03,0.02,0.5
38,23482~23479,0.87,0.52,0.03,0.59,0.42
39,23482~23485,-1.0,0.79,0.03,0.89,0.62
40,23482~23486,-2.46,-1.64,0.03,-1.52,0.42
41,23483~23479,0.73,0.89,0.04,0.9,0.43
42,23484~23479,-1.39,-1.74,0.04,-1.39,0.8
43,23484~23482,-2.26,-2.19,0.03,-1.93,0.43
44,23484~23485,-3.26,-0.66,0.02,-1.01,0.8
45,23484~23486,-4.72,-3.57,0.01,-3.45,0.59
46,23485~23479,1.87,0.3,0.04,-0.37,0.8
47,23486~23479,3.33,1.68,0.04,2.0,0.76
48,23486~23485,1.46,2.7,0.01,2.38,0.76
