,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,1a~3b,-0.38,-0.07,0.02,-0.16,0.29
1,1a~5,-0.1,0.12,0.02,-0.17,0.47
2,1b~1a,0.98,0.59,0.02,0.43,0.47
3,1b~1c,-0.1,-0.46,0.02,-0.58,0.29
4,1b~3b,0.6,0.19,0.02,0.28,0.29
5,1b~7a,0.24,-0.91,0.02,-0.75,0.47
6,1d~1a,0.77,1.66,0.02,1.44,0.46
7,1d~1c,-0.31,0.3,0.02,0.42,0.29
8,1d~5,0.67,0.99,0.02,1.28,0.47
9,1d~6e,-0.66,0.77,0.02,0.86,0.27
10,1d~7a,0.03,0.41,0.02,0.25,0.47
11,3a~1b,-0.14,0.35,0.02,0.22,0.44
12,3a~1d,0.07,-0.91,0.02,-0.78,0.44
13,6a~1b,0.72,0.6,0.02,0.69,0.27
14,6a~6b,0.29,0.11,0.02,0.02,0.27
15,6e~6b,0.02,-0.6,0.02,-0.51,0.27
