,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,ejm-31~ejm-43,1.28,1.23,0.02,1.14,0.17
1,ejm-31~ejm-45,-0.02,0.24,0.02,0.18,0.12
2,ejm-31~ejm-46,-1.77,-2.1,0.02,-2.06,0.16
3,ejm-31~ejm-48,0.54,-0.08,0.03,-0.01,0.17
4,ejm-31~jmc-28,-1.44,-2.36,0.02,-2.32,0.17
5,ejm-42~ejm-48,0.78,0.17,0.02,0.1,0.17
6,ejm-42~ejm-54,-0.75,-1.58,0.02,-1.54,0.17
7,ejm-42~ejm-55,0.57,-0.25,0.02,-0.23,0.16
8,ejm-43~ejm-55,-0.95,-1.38,0.02,-1.47,0.17
9,ejm-44~ejm-42,-2.36,-2.18,0.02,-2.12,0.11
10,ejm-44~ejm-55,-1.79,-2.28,0.03,-2.34,0.11
11,ejm-45~ejm-42,-0.22,-0.24,0.02,-0.3,0.12
12,ejm-47~ejm-31,0.16,0.55,0.02,0.54,0.11
13,ejm-47~ejm-55,0.49,0.19,0.02,0.2,0.11
14,ejm-49~ejm-31,-1.79,-1.28,0.02,-1.27,0.08
15,ejm-49~ejm-50,-1.23,-1.01,0.03,-1.02,0.08
16,ejm-50~ejm-42,-0.8,-0.36,0.02,-0.37,0.08
17,ejm-55~ejm-54,-1.32,-1.27,0.02,-1.31,0.17
18,jmc-23~ejm-46,0.39,0.41,0.01,0.37,0.16
19,jmc-23~ejm-55,2.49,2.01,0.02,2.09,0.17
20,jmc-23~jmc-27,0.42,-0.36,0.01,-0.35,0.12
21,jmc-23~jmc-30,0.76,0.2,0.01,0.15,0.17
22,jmc-28~jmc-27,-0.3,-0.45,0.01,-0.46,0.12
23,jmc-28~jmc-30,0.04,-0.01,0.01,0.04,0.17
