,lig,EXP,Pred dG,Pred dG err
0,p38a-2h,-9.48,-9.69,0.54
1,p38a-2r,-10.79,-11.42,0.49
2,p38a-2s,-11.11,-10.73,0.76
3,p38a-2x,-10.23,-9.91,0.46
4,p38a-2i,-10.05,-10.36,0.61
5,p38a-2p,-11.2,-11.05,0.72
6,p38a-2l,-12.26,-12.23,0.58
7,p38a-2ff,-11.44,-11.31,0.58
8,p38a-2k,-10.55,-10.51,0.46
9,p38a-2g,-10.66,-11.02,0.45
10,p38a-2gg,-10.66,-9.97,0.52
11,p38a-3flq,-9.93,-10.22,0.54
12,p38a-2z,-10.36,-9.87,0.48
13,p38a-2o,-10.49,-9.3,0.86
14,p38a-2v,-8.97,-8.68,0.38
15,p38a-2q,-12.26,-11.94,0.38
16,p38a-2j,-10.08,-10.15,0.28
17,p38a-3fmk,-11.83,-12.67,0.51
18,p38a-2f,-8.48,-9.48,0.84
19,p38a-2n,-11.85,-11.68,0.7
20,p38a-2e,-10.7,-10.25,0.52
21,p38a-3fmh,-10.83,-10.76,0.52
22,p38a-3fly,-11.42,-10.43,0.46
23,p38a-2t,-11.85,-11.62,0.68
24,p38a-3fln,-10.88,-11.1,0.26
25,p38a-2m,-10.96,-12.83,0.65
26,p38a-2ee,-12.26,-11.09,0.52
27,p38a-2c,-10.46,-10.2,0.45
28,p38a-2bb,-9.06,-9.16,0.49
29,p38a-2u,-12.26,-12.25,0.43
30,p38a-3flz,-9.49,-10.03,0.46
31,p38a-3flw,-10.68,-11.0,0.55
32,p38a-2y,-9.78,-9.93,0.52
33,p38a-2aa,-9.27,-9.74,0.5
