,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,p38a-2aa~p38a-2bb,0.21,0.51,0.04,0.58,0.41
1,p38a-2aa~p38a-3flw,-1.41,-1.15,0.04,-1.26,0.41
2,p38a-2ee~p38a-2j,2.18,0.96,0.04,0.94,0.68
3,p38a-2ee~p38a-3fln,1.38,-0.03,0.03,-0.01,0.68
4,p38a-2e~p38a-2j,0.62,0.24,0.04,0.11,0.68
5,p38a-2gg~p38a-2j,0.58,-0.16,0.06,-0.17,0.69
6,p38a-2g~p38a-2c,0.2,0.78,0.04,0.82,0.13
7,p38a-2g~p38a-2f,2.18,2.13,0.02,1.54,1.16
8,p38a-2g~p38a-2h,1.18,1.25,0.04,1.33,0.68
9,p38a-2g~p38a-2i,0.61,0.56,0.04,0.66,0.78
10,p38a-2j~p38a-2f,1.6,0.07,0.04,0.66,1.16
11,p38a-2j~p38a-2ff,-1.36,-1.08,0.04,-1.17,0.78
12,p38a-2j~p38a-2h,0.6,0.54,0.04,0.46,0.68
13,p38a-2j~p38a-2q,-2.18,-1.73,0.05,-1.79,0.33
14,p38a-2j~p38a-2r,-0.71,-1.36,0.04,-1.27,0.64
15,p38a-2l~p38a-2j,2.18,1.51,0.04,2.08,1.16
16,p38a-2l~p38a-2n,0.41,0.56,0.02,0.54,0.89
17,p38a-2l~p38a-2o,1.77,3.27,0.03,2.92,1.16
18,p38a-2l~p38a-2p,1.06,1.24,0.03,1.17,0.93
19,p38a-2m~p38a-2j,0.88,2.96,0.05,2.68,0.83
20,p38a-2m~p38a-2k,0.41,2.04,0.04,2.32,0.83
21,p38a-2s~p38a-2l,-1.15,-1.64,0.03,-1.49,0.99
22,p38a-2t~p38a-2j,1.77,1.21,0.04,1.48,0.94
23,p38a-2u~p38a-2k,1.71,1.79,0.05,1.73,0.33
24,p38a-2u~p38a-2q,0.0,0.25,0.05,0.31,0.33
25,p38a-2v~p38a-2bb,-0.09,-0.42,0.03,-0.49,0.41
26,p38a-2v~p38a-2j,-1.11,-1.53,0.04,-1.47,0.76
27,p38a-2v~p38a-2x,-1.26,-1.43,0.02,-1.23,0.34
28,p38a-2v~p38a-2y,-0.81,-1.59,0.03,-1.26,0.49
29,p38a-2v~p38a-3fln,-1.91,-2.36,0.03,-2.42,0.76
30,p38a-2v~p38a-3fly,-2.45,-1.57,0.02,-1.75,0.49
31,p38a-2v~p38a-3fmh,-1.86,-1.94,0.03,-2.08,0.49
32,p38a-2v~p38a-3fmk,-2.86,-3.85,0.03,-3.99,0.48
33,p38a-2z~p38a-2aa,1.09,0.17,0.03,0.13,0.34
34,p38a-2z~p38a-2y,0.58,0.27,0.04,-0.06,0.49
35,p38a-2z~p38a-3flq,0.43,-0.47,0.04,-0.35,0.49
36,p38a-2z~p38a-3flw,-0.32,-1.23,0.04,-1.12,0.41
37,p38a-2z~p38a-3fmk,-1.47,-2.94,0.04,-2.8,0.48
38,p38a-3fln~p38a-2e,0.18,0.98,0.02,0.85,0.68
39,p38a-3fln~p38a-2ff,-0.56,-0.3,0.03,-0.21,0.78
40,p38a-3fln~p38a-2g,0.22,0.46,0.02,0.08,1.16
41,p38a-3fln~p38a-2gg,0.22,1.14,0.05,1.13,0.69
42,p38a-3fln~p38a-2i,0.83,0.84,0.04,0.74,0.78
43,p38a-3fln~p38a-2k,0.33,0.8,0.03,0.58,0.83
44,p38a-3fln~p38a-2n,-0.97,-0.6,0.02,-0.58,0.89
45,p38a-3fln~p38a-2o,0.39,1.45,0.03,1.8,1.16
46,p38a-3fln~p38a-2p,-0.32,-0.02,0.03,0.05,0.93
47,p38a-3fln~p38a-2r,0.09,-0.23,0.03,-0.32,0.64
48,p38a-3fln~p38a-2s,-0.23,0.22,0.03,0.37,0.99
49,p38a-3fln~p38a-2t,-0.97,-0.79,0.02,-0.52,0.94
50,p38a-3fln~p38a-3flz,1.39,1.1,0.02,1.07,0.71
51,p38a-3fly~p38a-2x,1.19,0.71,0.02,0.51,0.34
52,p38a-3fly~p38a-3flq,1.49,0.33,0.03,0.21,0.49
53,p38a-3fly~p38a-3fmh,0.59,-0.47,0.02,-0.33,0.49
54,p38a-3flz~p38a-2c,-0.97,-0.13,0.04,-0.17,0.13
55,p38a-3flz~p38a-2g,-1.17,-1.0,0.02,-0.99,0.71
