,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,21~27charg,-0.06,2.14,0.04,1.82,0.71
1,21~27neu,-0.06,-0.57,0.03,-0.5,0.39
2,21~28charg,-0.82,0.53,0.04,0.74,0.38
3,21~29charg,-0.58,1.5,0.05,1.13,0.72
4,21~29neu,-0.58,-0.37,0.04,-0.25,0.35
5,21~30charg,-1.37,1.14,0.04,1.83,0.72
6,21~30neu,-1.37,-0.07,0.03,-0.35,0.72
7,27charg~27neu,0.0,-2.25,0.05,-2.32,0.39
8,28charg~27charg,0.76,1.06,0.05,1.08,0.5
9,28neu~21,0.82,0.29,0.03,0.41,0.5
10,28neu~28charg,0.0,1.26,0.03,1.14,0.5
11,29charg~28charg,-0.24,-0.32,0.06,-0.39,0.47
12,29charg~29neu,0.0,-1.26,0.06,-1.38,0.35
13,29charg~30charg,-0.79,0.89,0.04,0.7,0.72
14,30charg~27charg,1.31,-0.23,0.02,-0.01,0.71
15,30charg~30neu,0.0,-2.45,0.04,-2.17,0.72
