,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,17charg~14,0.0,-2.91,0.05,-2.87,0.48
1,17charg~17neu,0.0,-3.56,0.04,-3.25,0.64
2,17charg~18,-0.81,-2.79,0.04,-2.79,0.48
3,17charg~5charg,0.5,1.22,0.06,0.87,0.64
4,17neu~14,0.0,0.23,0.02,0.37,0.61
5,17neu~18,-0.81,0.29,0.02,0.46,0.64
6,18~14,0.81,-0.02,0.02,-0.08,0.47
7,18~6,2.41,4.22,0.03,4.45,0.64
8,5charg~14,-0.5,-3.57,0.06,-3.74,0.49
9,5neu~14,-0.5,-2.37,0.04,-2.43,0.61
10,5neu~5charg,0.0,1.5,0.03,1.31,0.47
11,5neu~6,1.1,1.85,0.04,2.1,0.61
12,6~14,-1.6,-4.66,0.04,-4.54,0.47
13,6~5charg,-1.1,-1.16,0.06,-0.79,0.64
