,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,19charg~29,1.89,-1.54,0.04,-1.26,0.96
1,28neu~28charg,0.0,-0.79,0.04,-1.31,1.35
2,29~28charg,-0.79,-1.09,0.04,-0.16,1.35
3,19charg~28charg,1.1,-0.96,0.04,-1.42,0.96
4,19charg~27,1.89,-0.89,0.04,-0.32,0.8
5,19charg~19neu,0.0,-0.07,0.04,-0.46,0.72
6,28charg~27,0.79,1.14,0.04,1.1,0.68
7,19neu~27,1.89,0.16,0.04,0.13,0.75
8,28neu~19neu,-1.1,-0.4,0.03,-0.34,0.72
9,28neu~27,0.79,0.21,0.03,-0.21,0.8
10,28neu~29,0.79,-2.03,0.03,-1.15,1.35
11,29~19neu,-1.89,0.5,0.03,0.81,0.75
12,29~27,0.0,1.02,0.03,0.94,0.7
