,lig,EXP,Pred dG,Pred dG err
0,30_0_ligand,-8.19,-9.06,0.22
1,44_0_ligand,-8.36,-9.51,0.25
2,34_0_ligand,-8.0,-6.87,0.22
3,33_0_ligand,-8.27,-7.51,0.23
4,41_0_ligand,-8.15,-7.69,0.2
5,35_0_ligand,-7.96,-6.5,0.21
6,42_0_ligand,-8.32,-7.68,0.19
7,37_0_ligand,-6.79,-8.6,0.21
8,39_0_ligand,-8.97,-8.2,0.21
9,40_0_ligand,-8.0,-9.4,0.2
10,22316,-7.88,-8.24,0.11
11,19678_cys,-8.61,-7.43,0.12
12,22319,-6.84,-7.7,0.12
13,22320,-7.5,-7.45,0.08
14,19677_19_0_ligand,-9.83,-9.06,0.07
15,22253_23_0_ligand,-8.75,-8.69,0.05
16,22250_20_0_ligand,-8.11,-8.11,0.06
17,22251_21_0_ligand,-9.41,-9.93,0.07
18,22252_22_0_ligand,-10.01,-10.32,0.05
19,22254_24_0_ligand,-9.47,-9.01,0.05
20,22256_26_0_ligand,-6.96,-7.41,0.06
