,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,19677_19_0_ligand~22253_23_0_ligand,1.08,0.29,0.04,0.33,0.21
1,22250_20_0_ligand~19677_19_0_ligand,-1.72,-1.07,0.01,-1.03,0.21
2,22250_20_0_ligand~22251_21_0_ligand,-1.3,-1.79,0.02,-1.69,0.27
3,22250_20_0_ligand~22252_22_0_ligand,-1.9,-1.97,0.04,-2.12,0.27
4,22251_21_0_ligand~22253_23_0_ligand,0.66,0.88,0.04,0.98,0.27
5,22254_24_0_ligand~22252_22_0_ligand,-0.54,-1.48,0.05,-1.35,0.27
6,22254_24_0_ligand~22253_23_0_ligand,0.72,0.19,0.06,0.06,0.27
7,22256_26_0_ligand~22252_22_0_ligand,-3.05,-2.86,0.05,-2.84,0.17
8,22256_26_0_ligand~22253_23_0_ligand,-1.79,-1.41,0.07,-1.43,0.17
9,30_0_ligand~44_0_ligand,-0.17,-0.55,0.03,-0.64,0.18
10,34_0_ligand~33_0_ligand,-0.27,-0.83,0.02,-0.84,0.1
11,34_0_ligand~41_0_ligand,-0.15,-0.97,0.03,-0.96,0.1
12,35_0_ligand~33_0_ligand,-0.31,-0.91,0.03,-0.9,0.1
13,35_0_ligand~42_0_ligand,-0.36,-0.86,0.04,-0.87,0.1
14,37_0_ligand~30_0_ligand,-1.4,-0.19,0.03,-0.22,0.12
15,37_0_ligand~42_0_ligand,-1.53,0.87,0.03,0.82,0.18
16,37_0_ligand~44_0_ligand,-1.57,-0.95,0.03,-0.86,0.18
17,39_0_ligand~30_0_ligand,0.78,-0.36,0.03,-0.41,0.18
18,39_0_ligand~41_0_ligand,0.82,0.43,0.03,0.48,0.18
19,40_0_ligand~41_0_ligand,-0.15,1.54,0.03,1.57,0.11
20,40_0_ligand~42_0_ligand,-0.32,1.74,0.04,1.71,0.11
21,41_0_ligand~42_0_ligand,-0.17,0.04,0.04,0.14,0.18
22,22316~19678_cys,-0.73,0.34,0.06,0.33,0.02
23,22316~22319,1.04,0.74,0.08,0.76,0.03
24,22316~22320,0.38,0.74,0.07,0.72,0.03
25,22319~19678_cys,-1.77,-0.44,0.04,-0.43,0.02
26,22320~19678_cys,-1.11,-0.39,0.05,-0.39,0.01
27,22320~22319,0.66,0.06,0.05,0.04,0.03
