,lig,EXP,Pred dG,Pred dG err
0,13,-11.22,-9.68,0.22
1,14,-8.29,-8.35,0.21
2,16,-9.24,-8.07,0.19
3,15,-7.64,-7.28,0.21
4,19,-10.67,-9.9,0.2
5,20,-10.64,-10.43,0.2
6,17,-8.94,-7.67,0.21
7,25,-9.74,-10.79,0.21
8,45,-11.13,-11.13,0.22
9,18,-10.91,-9.16,0.2
10,32,-9.49,-9.26,0.19
11,35,-11.46,-11.59,0.19
12,21,-9.7,-8.96,0.2
13,26,-10.16,-9.74,0.23
14,29,-9.2,-11.94,0.21
15,41,-11.22,-12.22,0.21
16,22,-10.22,-10.31,0.22
17,23,-8.96,-9.91,0.21
18,34,-11.13,-10.55,0.21
19,24,-10.28,-9.88,0.22
20,33,-11.05,-10.1,0.2
21,42,-11.46,-11.02,0.23
22,27,-8.41,-9.9,0.22
23,36,-11.22,-12.18,0.21
24,28,-6.17,-9.44,0.21
25,30,-11.63,-11.85,0.21
26,39,-11.46,-11.48,0.21
27,37,-11.46,-12.24,0.21
28,31,-11.87,-10.83,0.23
29,38,-11.32,-11.69,0.23
30,40,-11.13,-11.92,0.2
31,43,-11.87,-10.96,0.23
32,44,-11.46,-10.31,0.22
