,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,13~14,2.93,1.21,0.05,1.38,0.71
1,16~14,0.95,-0.3,0.03,-0.23,0.72
2,16~15,1.6,0.86,0.03,0.81,0.62
3,16~19,-1.43,-2.06,0.03,-1.81,0.65
4,16~20,-1.4,-2.25,0.04,-2.33,0.66
5,17~16,-0.3,-0.59,0.02,-0.4,0.72
6,17~25,-0.8,-2.67,0.05,-3.05,0.72
7,17~45,-2.19,-3.61,0.04,-3.42,0.72
8,18~13,-0.31,-0.43,0.04,-0.52,0.68
9,18~15,3.27,1.87,0.03,1.92,0.62
10,18~45,-0.22,-1.93,0.03,-1.92,0.68
11,19~25,0.93,-1.04,0.03,-0.84,0.72
12,19~32,1.18,0.7,0.02,0.65,0.72
13,20~35,-0.82,-0.93,0.04,-1.15,0.69
14,21~20,-0.94,-1.32,0.04,-1.46,0.69
15,21~26,-0.46,-0.81,0.03,-0.77,0.69
16,21~29,0.5,-2.76,0.03,-2.88,0.74
17,21~41,-1.52,-3.32,0.03,-3.21,0.67
18,22~21,0.52,1.44,0.02,1.33,0.74
19,22~26,0.06,0.59,0.03,0.55,0.69
20,22~32,0.73,0.89,0.03,1.04,0.74
21,23~14,0.67,1.77,0.06,1.53,0.72
22,23~34,-2.17,-0.87,0.04,-0.69,0.72
23,24~33,-0.77,0.11,0.03,-0.24,0.74
24,24~42,-1.18,-1.49,0.05,-1.14,0.74
25,27~36,-2.81,-2.19,0.04,-2.3,0.69
26,28~25,-3.57,-1.43,0.03,-1.42,0.63
27,28~30,-5.46,-2.41,0.04,-2.51,0.63
28,28~39,-5.29,-2.23,0.04,-2.14,0.58
29,29~33,-1.85,1.54,0.03,1.72,0.72
30,30~33,0.58,1.95,0.03,1.71,0.72
31,30~37,0.17,-0.51,0.02,-0.37,0.72
32,31~25,2.13,-0.07,0.04,0.1,0.72
33,31~37,0.41,-1.19,0.02,-1.36,0.72
34,32~23,0.53,-0.55,0.04,-0.6,0.71
35,33~32,1.56,1.33,0.03,0.86,0.78
36,33~34,-0.08,-0.72,0.03,-0.43,0.78
37,34~36,-0.09,-2.06,0.06,-1.59,0.78
38,35~18,0.55,2.4,0.04,2.37,0.68
39,35~27,3.05,1.84,0.04,1.73,0.69
40,35~36,0.24,-0.46,0.03,-0.57,0.69
41,35~37,0.0,-0.66,0.03,-0.63,0.63
42,38~29,2.12,-0.47,0.04,-0.17,0.74
43,39~32,1.97,2.15,0.03,2.21,0.67
44,40~19,0.46,2.06,0.03,1.97,0.62
45,40~33,0.08,1.54,0.03,1.76,0.66
46,41~39,-0.24,0.74,0.02,0.71,0.67
47,41~40,0.09,0.16,0.02,0.3,0.66
48,42~13,0.24,1.05,0.04,1.31,0.71
49,43~38,0.55,-0.99,0.03,-0.69,0.74
50,43~42,0.41,0.05,0.02,-0.04,0.74
51,43~45,0.74,0.07,0.03,-0.14,0.72
52,44~32,1.97,0.82,0.04,1.08,0.78
53,44~36,0.24,-1.55,0.11,-1.81,0.78
