,lig,EXP,Pred dG,Pred dG err
0,CHEMBL1077204,-11.05,-11.39,0.4
1,CHEMBL1083836,-10.86,-10.23,0.38
2,CHEMBL1084143,-11.87,-11.48,0.36
3,CHEMBL1084676,-10.71,-10.41,0.38
4,CHEMBL1077227,-11.32,-11.18,0.35
5,CHEMBL1078998,-10.37,-10.92,0.37
6,CHEMBL1084935,-10.53,-9.94,0.35
7,CHEMBL1085666,-10.5,-11.08,0.37
8,CHEMBL1086410,-11.46,-10.58,0.31
9,CHEMBL1082248,-11.63,-11.13,0.33
10,CHEMBL1083517,-11.46,-12.67,0.39
11,CHEMBL1084678,-11.13,-11.69,0.35
12,CHEMBL1096002,-11.13,-11.92,0.35
13,CHEMBL1082249,-11.22,-10.81,0.37
14,CHEMBL1086409,-9.87,-10.35,0.33
15,CHEMBL1096003,-11.87,-11.18,0.38
16,CHEMBL1084115,-9.44,-10.08,0.37
17,CHEMBL1089056,-9.44,-9.98,0.33
18,CHEMBL1084431,-9.8,-9.04,0.38
19,CHEMBL1084677,-11.46,-11.83,0.41
20,CHEMBL1085692,-11.32,-10.98,0.4
21,CHEMBL1093087,-10.53,-10.38,0.39
22,CHEMBL1078691,-10.19,-12.35,0.33
23,CHEMBL1093088,-11.22,-10.65,0.33
24,CHEMBL1078774,-10.6,-10.46,0.33
25,CHEMBL1088740,-8.7,-7.6,0.33
26,CHEMBL1085895,-10.86,-10.96,0.36
27,CHEMBL1089393,-8.38,-7.63,0.32
