,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,CHEMBL1077204~CHEMBL1083836,0.19,1.05,0.05,1.12,1.24
1,CHEMBL1077204~CHEMBL1084143,-0.82,-0.16,0.05,-0.12,1.13
2,CHEMBL1077204~CHEMBL1084676,0.34,0.8,0.03,0.95,1.24
3,CHEMBL1077227~CHEMBL1078998,0.95,0.28,0.04,0.29,1.08
4,CHEMBL1077227~CHEMBL1084935,0.79,1.53,0.05,1.24,1.43
5,CHEMBL1077227~CHEMBL1085666,0.82,0.14,0.05,0.13,1.43
6,CHEMBL1077227~CHEMBL1086410,-0.14,0.59,0.04,0.58,1.2
7,CHEMBL1078691~CHEMBL1089056,0.75,2.34,0.02,2.34,0.0
8,CHEMBL1078691~CHEMBL1093088,-1.03,1.49,0.04,1.49,0.0
9,CHEMBL1078774~CHEMBL1088740,1.9,2.85,0.03,2.85,0.0
10,CHEMBL1078774~CHEMBL1089056,1.16,0.48,0.02,0.48,0.0
11,CHEMBL1082248~CHEMBL1083517,0.17,-0.79,0.03,-1.47,1.43
12,CHEMBL1082248~CHEMBL1083836,0.77,0.41,0.03,0.9,1.43
13,CHEMBL1082248~CHEMBL1084143,-0.24,-0.2,0.07,-0.34,1.18
14,CHEMBL1082248~CHEMBL1084678,0.5,-0.26,0.06,-0.52,1.3
15,CHEMBL1082248~CHEMBL1086410,0.17,0.44,0.03,0.54,1.2
16,CHEMBL1082248~CHEMBL1096002,0.5,-0.55,0.03,-0.74,1.24
17,CHEMBL1082249~CHEMBL1077227,-0.1,-0.07,0.06,-0.37,1.43
18,CHEMBL1082249~CHEMBL1082248,-0.41,0.07,0.03,-0.33,1.43
19,CHEMBL1082249~CHEMBL1086409,1.35,-0.23,0.05,0.5,1.43
20,CHEMBL1082249~CHEMBL1096003,-0.65,-0.35,0.05,-0.38,1.19
21,CHEMBL1083517~CHEMBL1085666,0.96,1.42,0.03,1.57,1.39
22,CHEMBL1083836~CHEMBL1085666,0.36,-1.32,0.03,-0.81,1.43
23,CHEMBL1083836~CHEMBL1096002,-0.27,-1.38,0.03,-1.64,1.39
24,CHEMBL1084115~CHEMBL1078998,-0.93,-1.09,0.06,-0.83,1.03
25,CHEMBL1084115~CHEMBL1088740,0.74,2.27,0.04,2.27,0.0
26,CHEMBL1084115~CHEMBL1089056,0.0,0.37,0.03,0.11,1.03
27,CHEMBL1084431~CHEMBL1083517,-1.66,-3.72,0.07,-3.56,1.43
28,CHEMBL1084431~CHEMBL1085666,-0.7,-1.52,0.07,-2.0,1.43
29,CHEMBL1084431~CHEMBL1096002,-1.33,-2.7,0.06,-2.83,1.35
30,CHEMBL1084677~CHEMBL1083836,0.6,1.87,0.05,1.56,1.38
31,CHEMBL1084677~CHEMBL1084676,0.75,1.2,0.05,1.39,1.38
32,CHEMBL1084677~CHEMBL1085692,0.14,0.86,0.05,0.82,1.14
33,CHEMBL1084677~CHEMBL1096003,-0.41,0.44,0.04,0.6,1.19
34,CHEMBL1084678~CHEMBL1077204,0.08,0.04,0.05,0.3,1.19
35,CHEMBL1084678~CHEMBL1084143,-0.74,0.2,0.04,0.18,1.18
36,CHEMBL1084678~CHEMBL1084431,1.33,3.05,0.06,2.61,1.2
37,CHEMBL1084678~CHEMBL1084676,0.42,1.97,0.05,1.25,1.43
38,CHEMBL1084678~CHEMBL1084677,-0.33,-0.15,0.04,-0.14,1.29
39,CHEMBL1084678~CHEMBL1084935,0.6,1.31,0.05,1.71,1.43
40,CHEMBL1085692~CHEMBL1084676,0.61,0.84,0.04,0.57,1.38
41,CHEMBL1085692~CHEMBL1096002,0.19,-1.12,0.05,-0.89,1.38
42,CHEMBL1085895~CHEMBL1078998,0.49,0.02,0.06,0.02,0.0
43,CHEMBL1085895~CHEMBL1088740,2.16,3.3,0.05,3.3,0.0
44,CHEMBL1086409~CHEMBL1082248,-1.76,-0.55,0.03,-0.82,1.37
45,CHEMBL1086409~CHEMBL1083517,-1.59,-2.53,0.02,-2.3,1.38
46,CHEMBL1086409~CHEMBL1084676,-0.84,-0.75,0.05,-0.09,1.43
47,CHEMBL1086409~CHEMBL1084678,-1.26,-1.05,0.06,-1.34,1.11
48,CHEMBL1086409~CHEMBL1085666,-0.63,-0.55,0.03,-0.73,1.18
49,CHEMBL1086409~CHEMBL1086410,-1.59,-0.41,0.03,-0.28,1.16
50,CHEMBL1086410~CHEMBL1084935,0.93,0.58,0.04,0.66,1.25
51,CHEMBL1086410~CHEMBL1089056,2.02,0.66,0.04,0.65,1.08
52,CHEMBL1086410~CHEMBL1096002,0.33,-1.43,0.04,-1.28,1.25
53,CHEMBL1089056~CHEMBL1078998,-0.93,-0.66,0.03,-0.94,1.08
54,CHEMBL1089056~CHEMBL1088740,0.74,2.4,0.03,2.4,0.0
55,CHEMBL1089393~CHEMBL1085895,-2.48,-3.44,0.05,-3.44,0.0
56,CHEMBL1089393~CHEMBL1088740,-0.32,0.07,0.02,0.07,0.0
57,CHEMBL1089393~CHEMBL1093088,-2.84,-2.37,0.04,-2.37,0.0
58,CHEMBL1093087~CHEMBL1083517,-0.93,-2.68,0.06,-2.24,1.43
59,CHEMBL1093087~CHEMBL1084678,-0.6,-1.31,0.05,-1.28,1.43
60,CHEMBL1093087~CHEMBL1086409,0.66,0.51,0.06,0.06,1.29
61,CHEMBL1093087~CHEMBL1096003,-1.34,-0.81,0.06,-0.82,1.19
62,CHEMBL1093088~CHEMBL1088740,2.52,2.71,0.03,2.71,0.0
63,CHEMBL1096002~CHEMBL1084935,0.6,2.12,0.05,1.93,1.39
64,CHEMBL1096003~CHEMBL1084143,0.0,-0.4,0.05,-0.28,1.13
