,lig,EXP,Pred dG,Pred dG err
0,1,-11.32,-11.1,0.41
1,15,-11.05,-11.72,0.39
2,25,-10.28,-10.27,0.42
3,254,-9.55,-10.14,0.4
4,256,-10.67,-8.33,0.43
5,235,-10.12,-11.92,0.45
6,23,-7.07,-9.25,0.41
7,30,-10.57,-9.36,0.44
8,42,-8.94,-9.38,0.42
9,84,-7.58,-7.05,0.42
10,31,-8.84,-7.36,0.47
11,61,-10.11,-8.59,0.49
12,7a,-10.0,-9.46,0.43
13,41,-9.79,-9.12,0.5
14,7b,-7.39,-8.64,0.52
15,43,-8.7,-8.49,0.43
16,54,-9.31,-7.62,0.47
17,155,-10.5,-10.87,0.44
18,156,-9.74,-10.05,0.44
19,164,-6.76,-6.33,0.46
20,167,-10.67,-10.36,0.45
21,50,-9.7,-5.93,0.45
22,206,-10.12,-9.9,0.42
23,57,-10.67,-12.84,0.47
24,215,-10.6,-11.06,0.42
25,227,-10.76,-13.27,0.43
26,237,-9.55,-10.36,0.42
27,251,-10.24,-9.38,0.42
28,266,-10.53,-12.48,0.42
29,290,-10.57,-12.3,0.42
30,124,-10.12,-11.53,0.48
31,231,-10.02,-10.22,0.44
32,67,-10.17,-10.02,0.46
33,165,-9.24,-8.36,0.43
34,224,-9.66,-11.56,0.46
35,163,-11.01,-9.8,0.46
36,252,-9.71,-9.22,0.42
37,336,-9.82,-8.42,0.44
38,338,-10.76,-8.77,0.45
39,35,-7.15,-9.17,0.43
40,289,-10.91,-10.44,0.43
41,234,-10.35,-10.19,0.43
