,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,1~15,0.27,-0.43,0.11,-0.6,1.66
1,15~25,0.77,1.58,0.12,1.43,1.57
2,1~254,1.77,1.17,0.18,0.98,1.52
3,1~256,0.65,2.44,0.18,2.72,1.66
4,235~1,-1.2,0.85,0.09,0.77,1.62
5,23~15,-3.98,-2.42,0.25,-2.51,1.71
6,30~25,0.29,-1.04,0.43,-0.89,1.59
7,30~42,1.63,-0.18,0.59,0.02,1.39
8,30~84,2.99,2.55,0.66,2.33,1.64
9,31~61,-1.27,-0.43,1.3,-1.23,2.0
10,31~7a,-1.16,-1.91,0.13,-2.07,1.39
11,35~7a,-2.85,-0.35,0.33,-0.35,0.0
12,41~7b,2.4,0.09,1.59,0.52,1.89
13,43~25,-1.58,-1.64,0.33,-1.78,1.52
14,43~54,-0.61,0.97,0.37,0.83,1.56
15,7a~23,2.93,0.3,0.45,0.27,1.43
16,84~15,-3.47,-4.55,0.37,-4.65,1.63
17,155~84,2.92,3.58,0.79,3.8,1.64
18,156~42,0.8,0.78,0.32,0.68,1.51
19,164~25,-3.52,-4.22,0.84,-3.93,1.93
20,167~50,0.97,4.2,0.11,4.35,1.63
21,206~23,3.05,0.87,0.45,0.71,1.71
22,206~42,1.18,0.78,0.64,0.54,1.51
23,206~57,-0.55,-3.2,0.05,-2.88,1.71
24,215~15,-0.45,-0.57,0.12,-0.66,1.72
25,227~15,-0.29,1.04,0.12,1.5,1.76
26,235~54,0.81,4.02,0.17,4.21,1.62
27,237~31,0.71,3.91,1.14,2.95,2.0
28,237~41,-0.24,0.77,1.39,1.2,1.89
29,251~15,-0.81,-2.14,0.05,-2.3,1.76
30,251~25,-0.04,-0.71,0.16,-0.87,1.93
31,254~50,-0.15,4.25,0.11,4.1,1.63
32,266~84,2.95,5.47,0.18,5.38,1.56
33,289~35,3.76,1.33,0.15,1.33,0.0
34,290~23,3.5,2.96,0.26,3.06,1.35
35,290~7a,0.57,2.68,0.14,2.79,1.46
36,30~251,0.33,0.11,0.44,-0.02,1.64
37,42~164,2.18,3.17,0.05,3.03,1.42
38,43~155,-1.8,-2.44,0.36,-2.37,1.56
39,43~215,-1.9,-2.64,0.13,-2.55,1.52
40,43~235,-1.42,-3.49,0.05,-3.38,1.5
41,54~124,-0.81,-3.61,1.3,-3.83,1.95
42,54~251,-0.93,-2.02,0.31,-1.74,1.95
43,57~231,0.65,2.25,0.44,2.57,1.71
44,61~251,-0.13,0.03,0.13,-0.77,2.0
45,67~165,0.93,1.29,1.09,1.64,1.62
46,67~256,-0.5,1.98,0.07,1.63,1.62
47,7a~224,0.34,-2.01,0.42,-2.04,1.46
48,7b~231,-2.63,-2.03,1.26,-1.6,1.89
49,156~164,2.98,3.59,1.39,3.7,1.7
50,156~165,0.5,1.88,0.73,1.66,1.7
51,156~167,-0.93,-0.54,0.36,-0.32,1.59
52,164~124,-3.36,-4.83,0.17,-5.15,1.93
53,165~163,-1.77,-1.33,0.1,-1.44,1.65
54,165~252,-0.47,-1.25,0.43,-0.85,1.96
55,165~336,-0.58,-0.45,0.28,-0.07,1.81
56,167~155,0.17,-0.57,0.08,-0.49,1.68
57,167~165,1.43,1.53,0.56,1.98,1.96
58,206~256,-0.55,1.45,0.9,1.52,1.66
59,215~163,-0.41,0.88,0.17,1.21,1.65
60,215~252,0.89,1.77,0.23,1.81,1.72
61,224~231,-0.36,1.33,0.06,1.3,1.46
62,227~167,0.09,2.38,0.19,2.84,1.96
63,227~231,0.74,2.81,0.08,3.0,2.0
64,234~289,-0.56,-0.26,0.13,-0.26,0.0
65,237~227,-1.21,-3.98,1.33,-2.87,2.0
66,237~254,0.0,0.02,1.12,0.22,1.41
67,237~290,-1.02,-2.12,2.38,-1.91,1.46
68,237~336,-0.27,2.88,0.33,1.89,1.77
69,252~124,-0.41,-2.81,0.87,-2.26,1.95
70,252~155,-0.79,-1.7,0.31,-1.63,1.68
71,252~231,-0.31,-0.06,0.1,-0.98,2.0
72,252~336,-0.11,0.04,0.05,0.78,2.0
73,254~251,-0.69,0.54,0.03,0.72,1.63
74,266~165,1.29,3.98,0.83,4.05,1.58
75,266~254,0.98,2.29,0.09,2.31,1.58
76,336~251,-0.42,-1.09,0.74,-0.95,2.0
77,338~163,-0.25,-0.79,0.32,-1.01,1.38
78,338~165,1.52,0.41,0.29,0.43,1.53
79,338~215,0.16,-2.42,0.6,-2.22,1.53
