,lig,EXP,Pred dG,Pred dG err
0,38,-8.76,-9.17,0.18
1,26,-9.17,-8.51,0.16
2,24,-8.87,-8.48,0.15
3,69,-10.71,-10.66,0.16
4,20,-8.52,-7.92,0.17
5,39,-7.2,-6.78,0.19
6,52,-10.4,-8.69,0.18
7,46,-7.86,-7.49,0.19
8,30,-9.2,-8.53,0.16
9,56,-10.57,-10.52,0.17
10,41,-7.39,-8.52,0.21
11,49,-7.93,-6.77,0.2
12,42,-8.47,-8.61,0.18
13,67,-10.24,-12.01,0.17
14,59,-8.12,-8.76,0.2
15,54,-8.18,-8.08,0.16
16,36,-7.44,-9.04,0.17
17,35,-10.14,-9.57,0.18
18,47,-8.33,-6.88,0.19
19,33,-8.61,-8.34,0.16
20,62,-7.69,-7.21,0.16
21,31,-9.28,-9.03,0.17
22,19,-7.55,-7.36,0.16
23,63,-8.56,-9.36,0.17
24,23,-7.91,-7.33,0.17
25,60,-8.14,-8.77,0.18
26,53,-7.0,-7.91,0.17
27,55,-10.64,-10.97,0.18
28,65,-9.49,-10.08,0.15
29,34,-9.97,-8.91,0.16
30,70,-10.3,-10.66,0.14
31,48,-8.01,-7.76,0.19
32,64,-9.42,-9.45,0.16
33,57,-10.47,-10.68,0.16
34,68,-9.78,-11.01,0.17
35,29,-9.65,-10.01,0.16
36,44,-9.95,-9.03,0.19
37,58,-9.13,-9.92,0.18
38,37,-10.0,-8.8,0.19
39,43,-8.0,-9.44,0.21
