,lig,EXP,Pred dG,Pred dG err
0,19,-7.55,-8.06,0.23
1,37,-10.0,-10.41,0.26
2,70,-10.3,-10.09,0.19
3,20,-8.52,-8.36,0.22
4,39,-7.2,-6.34,0.26
5,42,-8.47,-8.9,0.25
6,24,-8.87,-8.22,0.22
7,34,-9.97,-9.32,0.23
8,69,-10.71,-10.28,0.21
9,26,-9.17,-8.51,0.23
10,29,-9.65,-9.23,0.22
11,23,-7.91,-8.43,0.23
12,54,-8.18,-9.98,0.22
13,63,-8.56,-7.95,0.22
14,30,-9.2,-8.92,0.21
15,56,-10.57,-11.46,0.22
16,31,-9.28,-9.4,0.25
17,33,-8.61,-8.7,0.22
18,36,-7.44,-9.77,0.24
19,35,-10.14,-10.14,0.24
20,38,-8.76,-9.19,0.25
21,41,-7.39,-9.11,0.26
22,44,-9.95,-7.68,0.23
23,43,-8.0,-9.61,0.25
24,48,-8.01,-7.47,0.26
25,68,-9.78,-9.93,0.21
26,47,-8.33,-6.77,0.24
27,46,-7.86,-6.63,0.25
28,49,-7.93,-6.53,0.25
29,58,-9.13,-8.81,0.23
30,52,-10.4,-9.8,0.24
31,53,-7.0,-9.14,0.23
32,55,-10.64,-11.74,0.23
33,57,-10.47,-10.77,0.22
34,60,-8.14,-8.27,0.24
35,59,-8.12,-9.01,0.25
36,62,-7.69,-6.0,0.24
37,65,-9.49,-8.69,0.21
38,64,-9.42,-8.61,0.23
39,67,-10.24,-10.8,0.22
