,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,19~37,-2.45,-1.88,0.04,-2.35,1.04
1,19~70,-2.75,-2.2,0.04,-2.05,0.85
2,20~39,1.32,1.65,0.02,2.0,1.04
3,20~42,0.05,-0.34,0.02,-0.53,0.89
4,24~34,-1.1,-0.78,0.03,-1.09,0.79
5,24~69,-1.84,-2.1,0.05,-2.05,0.81
6,24~70,-1.43,-2.12,0.04,-1.86,0.81
7,26~69,-1.54,-2.09,0.05,-1.77,0.91
8,26~70,-1.13,-1.0,0.04,-1.57,0.99
9,29~23,1.74,1.15,0.03,0.83,0.87
10,29~54,1.47,-1.03,0.03,-0.69,0.87
11,29~63,1.09,1.29,0.05,1.28,0.77
12,29~70,-0.65,-0.85,0.04,-0.85,0.74
13,30~56,-1.37,-2.59,0.04,-2.51,0.6
14,30~70,-1.1,-1.09,0.04,-1.17,0.6
15,31~19,1.73,1.23,0.03,1.35,0.76
16,33~23,0.7,0.13,0.02,0.28,0.66
17,33~36,1.17,-0.73,0.04,-1.01,0.87
18,33~70,-1.69,-1.53,0.03,-1.4,0.87
19,35~69,-0.57,-0.45,0.04,-0.15,0.82
20,38~26,-0.41,0.9,0.04,0.65,0.99
21,38~39,1.56,2.69,0.03,2.81,0.99
22,38~41,1.37,-0.01,0.04,0.11,0.63
23,39~37,-2.8,-4.5,0.05,-4.03,1.04
24,41~44,-2.56,1.2,0.03,1.32,0.63
25,43~44,-1.95,2.03,0.02,1.83,0.77
26,43~48,-0.01,1.88,0.03,2.08,0.77
27,44~68,0.17,-2.38,0.02,-2.19,0.91
28,47~20,-0.19,-1.34,0.03,-1.55,0.81
29,47~46,0.47,-0.04,0.01,0.15,0.68
30,48~20,-0.51,-1.27,0.03,-0.88,1.04
31,48~47,-0.32,0.86,0.02,0.67,1.04
32,49~42,-0.54,-2.52,0.02,-2.33,0.89
33,49~44,-2.02,-1.44,0.02,-1.17,0.91
34,49~58,-1.2,-1.79,0.02,-2.25,0.91
35,52~19,2.85,2.2,0.04,1.77,1.04
36,52~46,2.54,3.34,0.03,3.15,0.68
37,52~53,3.4,0.57,0.01,0.73,0.99
38,54~36,0.74,-0.07,0.03,0.23,0.87
39,54~70,-2.12,-0.2,0.03,-0.16,0.74
40,55~23,2.73,3.31,0.04,3.3,0.69
41,55~63,2.08,3.73,0.04,3.74,0.69
42,56~69,-0.14,1.26,0.04,1.15,0.75
43,57~70,0.17,0.56,0.02,0.67,0.61
44,58~60,0.99,0.82,0.02,0.55,0.91
45,58~63,0.57,0.93,0.02,0.85,0.85
46,58~68,-0.65,-0.99,0.02,-1.11,0.89
47,59~35,-2.02,-1.44,0.03,-1.14,0.82
48,59~47,-0.21,2.01,0.03,2.18,1.04
49,59~52,-2.28,-0.36,0.03,-0.82,1.04
50,62~31,-1.59,-3.48,0.04,-3.36,0.76
51,62~53,0.69,-2.74,0.04,-3.05,0.99
52,62~70,-2.61,-4.24,0.02,-4.05,0.99
53,63~36,1.12,-1.73,0.06,-1.74,0.66
54,65~20,0.97,0.38,0.03,0.35,0.87
55,65~34,-0.48,-0.94,0.06,-0.63,0.79
56,65~63,0.93,0.68,0.04,0.74,0.85
57,65~64,0.07,0.16,0.07,0.08,0.75
58,65~70,-0.81,-1.12,0.05,-1.39,0.87
59,67~56,-0.33,-0.47,0.05,-0.65,0.75
60,67~57,-0.23,-0.08,0.05,0.03,0.61
61,67~64,0.82,2.08,0.03,2.16,0.75
62,68~53,2.78,0.8,0.03,0.84,0.91
63,68~70,-0.52,-0.2,0.04,-0.17,0.84
64,69~23,2.8,1.69,0.05,1.87,0.87
65,69~53,3.71,1.09,0.05,1.2,0.81
66,69~60,2.57,1.76,0.03,2.03,0.91
