,lig,EXP,Pred dG,Pred dG err
0,11,-6.35,-7.19,0.42
1,4,-5.82,-6.64,0.48
2,7,-7.08,-7.43,0.43
3,10,-7.15,-8.1,0.39
4,SHP836-2,-6.71,-6.47,0.47
5,3,-5.46,-6.57,0.47
6,Example_3,-8.22,-8.63,0.41
7,Example_9,-8.79,-8.3,0.44
8,Example_1,-8.99,-8.7,0.39
9,6,-8.03,-7.93,0.43
10,Example_27,-8.52,-7.97,0.46
11,Example_14,-9.78,-9.42,0.44
12,Example_22,-9.24,-8.48,0.44
13,Example_28,-8.46,-8.71,0.46
14,Example_5,-7.56,-8.5,0.45
15,Example_26,-8.96,-7.98,0.4
16,Example_6,-9.07,-9.29,0.41
17,Example_8,-9.71,-9.66,0.4
18,Example_4,-8.2,-7.94,0.41
19,Example_29,-7.62,-8.21,0.46
20,Example_30,-9.16,-8.7,0.39
21,SHP099-1_Example_7,-9.75,-10.61,0.35
22,Example_25,-8.87,-7.6,0.37
23,Example_24,-9.08,-7.97,0.39
24,Example_23,-8.74,-8.9,0.4
25,Example_2,-8.28,-7.71,0.39
