,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,11~4,0.53,-0.29,0.06,0.55,1.67
1,11~7,-0.73,0.07,0.05,-0.26,1.67
2,7~10,-0.07,-0.53,0.06,-0.64,1.08
3,4~SHP836-2,-0.89,-0.12,0.03,0.12,1.47
4,3~Example_3,-2.76,-1.74,0.05,-2.08,1.4
5,3~Example_9,-3.33,-2.13,0.07,-1.79,1.4
6,Example_1~6,0.96,0.95,0.03,0.77,1.39
7,4~Example_27,-2.7,-1.42,0.04,-1.39,1.34
8,Example_14~7,2.7,1.43,0.06,2.01,1.67
9,Example_22~7,2.16,1.45,0.05,1.1,1.45
10,Example_28~6,0.43,0.17,0.06,0.76,1.67
11,SHP836-2~Example_5,-0.85,-1.77,0.05,-1.98,1.57
12,Example_26~SHP836-2,2.25,1.81,0.06,1.53,1.57
13,Example_6~Example_8,-0.64,0.1,0.05,-0.38,1.39
14,Example_8~Example_4,1.51,2.08,0.05,1.72,1.39
15,SHP836-2~Example_27,-1.81,-1.69,0.03,-1.51,1.29
16,Example_29~Example_9,-1.17,-0.22,0.05,-0.13,1.26
17,Example_8~Example_30,0.55,0.91,0.04,0.95,1.26
18,Example_9~Example_30,-0.37,-0.83,0.05,-0.4,1.4
19,SHP099-1_Example_7~Example_14,-0.03,1.19,0.04,1.14,1.16
20,4~Example_5,-1.74,-2.43,0.05,-1.86,1.67
21,Example_1~7,1.91,1.3,0.04,1.29,1.4
22,Example_6~6,1.04,1.13,0.04,1.34,1.39
23,Example_14~6,1.75,2.12,0.05,1.49,1.67
24,Example_27~Example_4,0.32,-0.17,0.06,0.04,1.34
25,SHP099-1_Example_7~Example_8,0.04,0.75,0.03,0.91,1.39
26,10~Example_30,-2.01,-0.68,0.03,-0.66,1.08
27,11~Example_25,-2.52,-0.29,0.04,-0.49,1.3
28,11~Example_6,-2.72,-1.72,0.04,-2.12,1.39
29,Example_1~Example_24,-0.09,0.86,0.04,0.69,1.27
30,Example_1~Example_3,0.77,-0.37,0.03,0.1,1.4
31,Example_1~Example_4,0.79,0.97,0.03,0.76,1.39
32,Example_22~Example_23,0.5,-0.17,0.03,-0.38,1.12
33,Example_24~Example_23,0.34,-1.09,0.03,-0.87,1.17
34,Example_24~Example_28,0.62,-0.46,0.04,-0.69,1.27
35,Example_24~Example_30,-0.08,-0.43,0.05,-0.7,1.25
36,Example_25~Example_3,0.65,-1.08,0.04,-0.96,1.32
37,Example_26~Example_25,0.09,0.24,0.02,0.36,1.32
38,Example_26~Example_6,-0.11,-1.32,0.04,-1.27,1.24
39,Example_29~11,1.27,1.12,0.04,1.03,1.26
40,Example_2~Example_1,-0.71,-0.95,0.02,-0.97,1.13
41,Example_2~Example_23,-0.46,-0.91,0.04,-1.16,1.2
42,Example_2~Example_4,0.08,-0.32,0.04,-0.21,1.3
43,Example_4~Example_3,-0.02,-0.42,0.02,-0.67,1.26
44,Example_6~Example_25,0.2,1.71,0.04,1.63,1.32
45,SHP099-1_Example_7~10,2.6,2.38,0.02,2.51,1.08
46,SHP099-1_Example_7~Example_1,0.76,1.94,0.03,1.87,1.22
47,SHP099-1_Example_7~Example_22,0.51,2.62,0.03,2.06,1.45
48,SHP099-1_Example_7~Example_23,1.01,1.45,0.03,1.68,1.2
49,SHP099-1_Example_7~Example_24,0.67,2.67,0.03,2.56,1.25
50,SHP099-1_Example_7~Example_25,0.88,2.64,0.03,2.92,1.32
51,SHP099-1_Example_7~Example_26,0.79,2.66,0.04,2.56,1.57
52,SHP099-1_Example_7~Example_28,1.29,1.05,0.03,1.87,1.67
53,SHP099-1_Example_7~Example_2,1.47,3.0,0.03,2.84,1.3
54,SHP099-1_Example_7~Example_30,0.59,2.08,0.04,1.86,1.4
55,SHP099-1_Example_7~Example_5,2.19,2.46,0.04,2.11,1.67
