,lig,EXP,Pred dG,Pred dG err
0,CHEMBL3265002,-10.61,-13.05,0.26
1,CHEMBL3265001,-12.03,-13.11,0.29
2,CHEMBL3265004,-10.86,-12.94,0.27
3,CHEMBL3265003,-10.82,-13.44,0.29
4,CHEMBL3265006,-9.96,-9.13,0.28
5,CHEMBL3265011,-8.64,-7.49,0.28
6,CHEMBL3265008,-9.78,-9.76,0.28
7,CHEMBL3265005,-10.33,-9.84,0.29
8,CHEMBL3265009,-10.3,-10.18,0.27
9,CHEMBL3265010,-10.14,-10.24,0.28
10,CHEMBL3265012,-10.55,-10.83,0.28
11,CHEMBL3259820,-10.57,-10.86,0.27
12,CHEMBL3265013,-9.81,-10.63,0.25
13,CHEMBL3265015,-9.48,-8.12,0.27
14,CHEMBL3265014,-10.4,-9.93,0.27
15,CHEMBL3265016,-11.69,-10.03,0.27
16,CHEMBL3265020,-11.01,-10.12,0.25
17,CHEMBL3265017,-11.49,-10.55,0.24
18,CHEMBL3265027,-10.33,-9.3,0.26
19,CHEMBL3265029,-11.12,-10.27,0.28
20,CHEMBL3265018,-11.19,-11.01,0.32
21,CHEMBL3265019,-10.78,-11.33,0.34
22,CHEMBL3265021,-10.89,-10.63,0.25
23,CHEMBL3265022,-10.79,-10.14,0.26
24,CHEMBL3265023,-10.48,-10.78,0.25
25,CHEMBL3265028,-11.01,-9.97,0.26
26,CHEMBL3265034,-11.49,-10.21,0.31
27,CHEMBL3265037,-12.77,-11.53,0.33
28,CHEMBL3265036,-10.42,-11.16,0.3
29,CHEMBL3265032,-11.06,-10.91,0.28
30,CHEMBL3264999,-11.42,-11.76,0.29
31,CHEMBL3264996,-10.67,-12.82,0.28
32,CHEMBL3265026,-11.36,-10.52,0.27
33,CHEMBL3265025,-10.2,-10.69,0.28
34,CHEMBL3265024,-11.79,-10.73,0.26
35,CHEMBL3265035,-11.08,-10.49,0.27
36,CHEMBL3265033,-11.84,-11.36,0.29
37,CHEMBL3265031,-12.07,-11.36,0.3
38,CHEMBL3265030_n,-11.47,-10.71,0.28
39,CHEMBL3264995,-12.39,-12.43,0.29
40,CHEMBL3264994,-9.81,-11.22,0.31
41,CHEMBL3264997,-10.98,-11.51,0.31
42,CHEMBL3265000,-11.81,-13.12,0.31
43,CHEMBL3264998,-11.72,-13.22,0.29
