,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,CHEMBL3265002~CHEMBL3265001,-1.42,-0.17,0.07,-0.09,0.99
1,CHEMBL3265004~CHEMBL3265001,-1.17,-0.12,0.08,-0.2,0.99
2,CHEMBL3265004~CHEMBL3265002,0.25,0.0,0.03,-0.11,1.08
3,CHEMBL3265004~CHEMBL3265003,0.04,-0.43,0.03,-0.49,1.0
4,CHEMBL3265006~CHEMBL3265011,1.32,1.21,0.03,1.63,1.17
5,CHEMBL3265008~CHEMBL3265005,-0.55,-0.18,0.03,-0.08,1.18
6,CHEMBL3265008~CHEMBL3265006,-0.18,0.22,0.04,0.62,1.17
7,CHEMBL3265009~CHEMBL3265005,-0.03,0.39,0.03,0.33,1.1
8,CHEMBL3265009~CHEMBL3265006,0.34,0.95,0.03,1.03,1.04
9,CHEMBL3265009~CHEMBL3265008,0.52,0.51,0.03,0.42,1.2
10,CHEMBL3265010~CHEMBL3265011,1.5,3.38,0.03,2.73,1.28
11,CHEMBL3265012~CHEMBL3259820,-0.02,-0.33,0.03,-0.03,1.15
12,CHEMBL3265013~CHEMBL3259820,-0.76,-0.4,0.03,-0.24,0.98
13,CHEMBL3265013~CHEMBL3265012,-0.74,-0.2,0.03,-0.21,1.01
14,CHEMBL3265015~CHEMBL3259820,-1.09,-2.55,0.03,-2.7,1.07
15,CHEMBL3265015~CHEMBL3265014,-0.92,-1.78,0.04,-1.79,0.98
16,CHEMBL3265016~CHEMBL3265020,0.68,-0.31,0.02,-0.08,1.18
17,CHEMBL3265017~CHEMBL3265016,-0.2,0.53,0.02,0.51,1.14
18,CHEMBL3265017~CHEMBL3265020,0.48,0.35,0.02,0.43,1.19
19,CHEMBL3265017~CHEMBL3265027,1.16,1.14,0.03,1.24,1.04
20,CHEMBL3265017~CHEMBL3265029,0.37,0.32,0.03,0.28,1.1
21,CHEMBL3265018~CHEMBL3265019,0.41,-0.61,0.02,-0.3,1.15
22,CHEMBL3265021~CHEMBL3265017,-0.6,0.0,0.01,0.06,1.05
23,CHEMBL3265021~CHEMBL3265020,-0.12,0.49,0.02,0.49,1.15
24,CHEMBL3265021~CHEMBL3265022,0.1,0.52,0.02,0.48,0.97
25,CHEMBL3265021~CHEMBL3265023,0.41,-0.17,0.02,-0.14,1.01
26,CHEMBL3265023~CHEMBL3265020,-0.53,0.47,0.03,0.64,1.05
27,CHEMBL3265023~CHEMBL3265028,-0.53,0.78,0.04,0.79,0.91
28,CHEMBL3265027~CHEMBL3265020,-0.68,-1.04,0.04,-0.81,1.23
29,CHEMBL3265028~CHEMBL3265027,0.68,0.71,0.03,0.67,0.91
30,CHEMBL3265029~CHEMBL3265016,-0.57,0.35,0.03,0.23,1.1
31,CHEMBL3265029~CHEMBL3265027,0.79,0.79,0.03,0.96,1.09
32,CHEMBL3265034~CHEMBL3265037,-1.28,-2.01,0.05,-1.32,1.28
33,CHEMBL3265036~CHEMBL3265016,-1.27,1.17,0.05,1.08,0.96
34,CHEMBL3265036~CHEMBL3265029,-0.7,0.76,0.04,0.85,0.96
35,CHEMBL3265037~CHEMBL3265032,1.71,0.31,0.03,0.65,1.28
36,CHEMBL3264995~CHEMBL3264994,2.58,1.83,0.18,1.25,0.88
37,CHEMBL3264995~CHEMBL3265001,0.36,-0.64,0.12,-0.64,0.0
38,CHEMBL3264997~CHEMBL3264994,1.17,-0.26,0.68,0.32,0.88
39,CHEMBL3264997~CHEMBL3264995,-1.41,-0.67,0.3,-0.94,0.82
40,CHEMBL3264998~CHEMBL3264995,-0.67,1.36,0.65,1.36,0.0
41,CHEMBL3264998~CHEMBL3265001,-0.31,0.03,0.08,0.03,0.0
42,CHEMBL3264999~CHEMBL3264996,0.75,-0.74,0.14,-1.02,1.15
43,CHEMBL3265000~CHEMBL3264994,2.0,1.68,0.97,1.68,0.0
44,CHEMBL3265000~CHEMBL3264995,-0.58,0.97,0.28,0.66,0.88
45,CHEMBL3265000~CHEMBL3264997,0.83,1.29,0.36,1.6,0.88
46,CHEMBL3265002~CHEMBL3264996,-0.06,0.18,0.12,0.23,1.14
47,CHEMBL3265002~CHEMBL3264999,-0.81,1.18,0.21,1.25,1.28
48,CHEMBL3265003~CHEMBL3264999,-0.6,1.53,0.1,1.63,1.15
49,CHEMBL3265004~CHEMBL3264999,-0.56,1.09,0.17,1.14,1.08
50,CHEMBL3265006~CHEMBL3265026,-1.4,-1.51,0.92,-1.39,1.15
51,CHEMBL3265008~CHEMBL3259820,-0.79,-0.78,0.19,-1.09,1.15
52,CHEMBL3265009~CHEMBL3265003,-0.52,-3.37,0.3,-3.2,1.15
53,CHEMBL3265009~CHEMBL3265020,-0.71,0.42,0.35,0.04,1.19
54,CHEMBL3265010~CHEMBL3264996,-0.53,-2.92,0.83,-2.53,1.15
55,CHEMBL3265012~CHEMBL3265002,-0.06,-2.01,0.4,-2.18,1.15
56,CHEMBL3265012~CHEMBL3265010,0.41,0.72,0.05,0.58,1.14
57,CHEMBL3265013~CHEMBL3265004,-1.05,-2.08,0.15,-2.28,1.05
58,CHEMBL3265013~CHEMBL3265020,-1.2,0.48,0.02,0.47,1.03
59,CHEMBL3265013~CHEMBL3265023,-0.67,-0.22,0.04,-0.17,1.05
60,CHEMBL3265014~CHEMBL3265006,0.44,0.73,0.12,0.8,1.0
61,CHEMBL3265014~CHEMBL3265022,-0.39,-0.27,0.03,-0.21,0.92
62,CHEMBL3265014~CHEMBL3265025,0.2,-0.72,0.13,-0.74,1.0
63,CHEMBL3265014~CHEMBL3265028,-0.61,0.07,0.24,-0.05,0.95
64,CHEMBL3265015~CHEMBL3264999,-1.94,-3.1,0.26,-3.6,1.28
65,CHEMBL3265015~CHEMBL3265009,-0.82,-1.75,0.16,-2.03,1.2
66,CHEMBL3265015~CHEMBL3265011,0.84,-0.11,0.48,0.64,1.28
67,CHEMBL3265015~CHEMBL3265017,-2.01,-2.59,0.27,-2.41,1.23
68,CHEMBL3265016~CHEMBL3265005,1.36,0.69,0.48,0.22,1.18
69,CHEMBL3265017~CHEMBL3265002,0.88,-2.9,0.65,-2.43,1.28
70,CHEMBL3265017~CHEMBL3265024,-0.3,-0.1,0.35,-0.19,1.09
71,CHEMBL3265017~CHEMBL3265026,0.13,0.01,0.18,0.03,1.09
72,CHEMBL3265017~CHEMBL3265032,0.43,-0.06,0.14,-0.34,1.28
73,CHEMBL3265018~CHEMBL3265005,0.86,1.04,0.32,1.16,1.09
74,CHEMBL3265018~CHEMBL3265011,2.55,3.93,0.29,3.5,1.15
75,CHEMBL3265019~CHEMBL3265005,0.45,1.16,0.5,1.47,1.15
76,CHEMBL3265020~CHEMBL3265026,-0.35,-0.83,0.33,-0.4,1.23
77,CHEMBL3265021~CHEMBL3265011,2.25,3.21,0.42,3.12,1.15
78,CHEMBL3265021~CHEMBL3265013,1.08,0.04,0.01,0.03,0.99
79,CHEMBL3265021~CHEMBL3265024,-0.9,-0.25,0.51,-0.12,1.04
80,CHEMBL3265021~CHEMBL3265035,-0.19,0.21,0.06,0.14,1.05
81,CHEMBL3265023~CHEMBL3265022,-0.31,0.71,0.13,0.62,0.92
82,CHEMBL3265024~CHEMBL3265008,2.01,0.58,0.31,0.99,1.2
83,CHEMBL3265025~CHEMBL3265008,0.42,1.05,0.07,0.92,1.07
84,CHEMBL3265025~CHEMBL3265020,-0.81,0.42,0.09,0.54,1.07
85,CHEMBL3265027~CHEMBL3265010,0.19,-0.79,0.32,-0.91,1.28
86,CHEMBL3265027~CHEMBL3265033,-1.51,-2.08,0.17,-2.05,1.04
87,CHEMBL3265031~CHEMBL3265024,0.28,0.34,0.55,0.62,1.2
