,lig,EXP,Pred dG,Pred dG err
0,5b,-10.47,-10.84,0.34
1,5c,-9.96,-9.98,0.34
2,5o,-12.04,-12.29,0.32
3,5l,-10.09,-11.45,0.35
4,5p,-10.5,-11.97,0.33
5,8e,-10.24,-10.95,0.36
6,8c,-10.12,-9.08,0.38
7,8d,-12.49,-9.67,0.42
8,8f,-11.81,-11.5,0.36
9,8a,-10.81,-11.03,0.33
10,8b,-11.93,-12.52,0.36
11,1b,-9.94,-8.76,0.32
12,5g,-10.81,-10.94,0.33
13,5h,-10.05,-9.11,0.31
14,5i,-12.08,-11.87,0.31
15,5k,-10.96,-11.57,0.32
16,5d,-10.89,-10.91,0.3
17,5a,-10.76,-10.4,0.3
18,5e,-10.11,-10.01,0.31
19,3a,-11.0,-11.44,0.37
20,7,-8.4,-9.06,0.33
21,1a,-8.55,-6.84,0.37
22,5f,-10.26,-11.01,0.34
23,5m,-12.69,-11.99,0.31
24,5j,-11.08,-11.52,0.33
25,3b,-11.52,-12.15,0.37
26,5n,-10.71,-11.4,0.32
