,Pairs,EXP,FEP,FEP_err
0,5b~5c,0.51,0.84,1.07
1,5b~5o,-1.57,-1.46,0.84
2,5l~5p,-0.41,-0.52,0.73
3,8b~8d,-0.56,2.72,1.3
4,8d~8c,2.37,0.66,1.61
5,1b~5c,-0.02,-1.17,1.07
6,5g~5h,0.76,1.8,0.95
7,5i~5o,0.04,-0.4,0.77
8,5k~5d,0.07,0.63,1.29
9,5a~5c,0.8,0.43,1.07
10,5e~5k,-0.85,-1.52,1.11
11,5g~5d,-0.08,0.03,1.16
12,8a~5d,-0.08,0.1,1.04
13,8c~5k,-0.84,-2.42,1.16
14,5a~5d,-0.13,-0.5,1.23
15,5a~5k,-0.2,-1.13,1.23
16,5e~5h,0.06,0.88,1.02
17,8e~5k,-0.72,-0.62,1.09
18,1b~5d,-0.95,-2.11,1.1
19,1b~5h,-0.11,-0.34,0.96
20,3a~7,2.6,2.39,1.19
21,7~5d,-2.49,-1.88,1.11
22,1a~5d,-2.34,-4.01,1.38
23,5e~5p,-0.39,-1.9,0.86
24,8e~8c,0.12,1.8,1.33
25,5f~5l,0.17,-0.42,1.11
26,3a~5m,-1.69,-0.59,1.19
27,5f~5a,-0.5,0.58,1.11
28,5f~5i,-1.82,-0.9,0.83
29,5l~5j,-0.99,-0.1,1.11
30,7~3b,-3.12,-3.09,1.01
31,8b~8f,0.12,0.98,1.19
32,3a~3b,-0.52,-0.7,1.01
33,5e~5i,-1.97,-1.86,0.99
34,5g~5b,0.34,0.12,1.19
35,5i~5a,1.32,1.47,0.94
36,5i~5m,-0.61,-0.13,0.99
37,5p~5n,-0.21,0.54,0.86
38,8e~8b,-1.69,-1.57,1.19
39,1b~1a,1.39,1.9,1.1
40,5a~5j,-0.32,-1.09,1.01
41,5a~5n,0.05,-0.97,1.04
42,5e~5a,-0.65,-0.39,1.11
43,5e~5n,-0.6,-1.36,0.88
44,5g~5a,0.05,0.53,1.19
45,5o~5m,-0.65,0.27,0.84
46,7~8a,-2.41,-1.99,1.15
47,1b~5n,-0.77,-2.57,1.02
48,5b~5j,-0.61,-0.68,1.19
49,5b~5n,-0.24,-0.56,1.04
50,5d~5m,-1.8,-1.1,1.0
51,5h~5m,-2.64,-2.87,1.02
52,5l~5e,-0.02,1.38,1.03
53,7~5j,-2.68,-2.47,1.19
54,8b~8a,1.12,1.48,0.96
55,8d~1a,3.94,2.87,1.45
56,8d~8f,0.68,-1.74,1.51
57,8e~8a,-0.57,-0.09,1.16
58,8f~5m,-0.88,-0.5,1.38
59,8f~8a,1.0,0.5,1.16
