,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,5b~5c,0.51,0.87,0.02,0.84,1.07
1,5b~5o,-1.57,-1.41,0.04,-1.46,0.84
2,5l~5p,-0.41,-0.65,0.04,-0.52,0.73
3,8e-neu~8c-neu,,0.67,0.03,0.44,1.19
4,8b~8d,-0.56,-0.28,0.03,-0.14,1.15
5,8d~8c,2.37,0.66,0.02,0.82,1.38
6,8d-neu~8f-neu,,-0.73,0.03,-0.48,1.38
7,8e-neu~8a-neu,,0.95,0.04,1.14,1.16
8,8e-neu~8b-neu,,-0.37,0.04,-0.34,1.19
9,1b~5c,-0.02,-1.18,0.04,-1.17,1.07
10,5g~5h,0.76,1.83,0.02,1.8,0.95
11,5i~5o,0.04,-0.43,0.04,-0.4,0.77
12,5k~5d,0.07,0.6,0.02,0.63,1.29
13,8a-neu~5d,,0.7,0.03,0.61,1.04
14,8b-neu~8b,,3.81,0.04,3.71,1.05
15,8e-neu~8e,,4.0,0.04,4.09,0.98
16,5a~5c,0.8,0.41,0.02,0.43,1.07
17,5e~5k,-0.85,-1.75,0.02,-1.52,1.11
18,5g~5d,-0.08,0.04,0.02,0.03,1.16
19,8a~5d,-0.08,-3.61,0.04,-2.99,1.38
20,8c~5k,-0.84,-2.29,0.04,-2.93,1.32
21,8d-neu~8c-neu,,0.78,0.04,0.57,1.38
22,5a~5d,-0.13,-0.4,0.02,-0.5,1.23
23,5a~5k,-0.2,-1.0,0.02,-1.13,1.23
24,5e~5h,0.06,1.0,0.03,0.88,1.02
25,8b-neu~8d-neu,,0.12,0.03,0.21,1.15
26,8e~5k,-0.72,-3.42,0.04,-2.97,1.32
27,8f-neu~8a-neu,,1.59,0.04,1.75,1.16
28,1b~5d,-0.95,-1.98,0.03,-2.11,1.1
29,1b~5h,-0.11,-0.44,0.04,-0.34,0.96
30,3a~7,2.6,2.79,0.03,2.39,1.19
31,7~5d,-2.49,-2.04,0.03,-1.88,1.11
32,8b-neu~8f-neu,,-0.38,0.03,-0.27,1.19
33,1a~5d,-2.34,-3.66,0.03,-4.01,1.38
34,5e~5p,-0.39,-1.87,0.04,-1.9,0.86
35,8b-neu~8a-neu,,1.55,0.04,1.48,0.96
36,8e~8c,0.12,0.1,0.03,-0.04,1.1
37,8f-neu~8f,,4.09,0.04,3.99,1.1
38,5f~5l,0.17,-0.63,0.02,-0.42,1.11
39,3a~5m,-1.69,-1.03,0.03,-0.59,1.19
40,5f~5a,-0.5,0.73,0.02,0.58,1.11
41,5f~5i,-1.82,-0.84,0.02,-0.9,0.83
42,5l~5j,-0.99,-0.21,0.02,-0.1,1.11
43,7~3b,-3.12,-3.14,0.03,-3.09,1.01
44,8b~8f,0.12,0.5,0.04,0.01,1.28
45,8c-neu~5k,,0.46,0.03,0.68,1.01
46,8c-neu~8c,,4.27,0.04,3.61,1.38
47,8d-neu~1a,,5.73,0.04,5.88,1.32
48,8d-neu~8d,,3.46,0.04,3.36,1.11
49,3a~3b,-0.52,-0.65,0.02,-0.7,1.01
50,5e~5i,-1.97,-1.89,0.02,-1.86,0.99
51,5g~5b,0.34,-0.13,0.02,0.12,1.19
52,5i~5a,1.32,1.43,0.02,1.47,0.94
53,5i~5m,-0.61,-0.02,0.02,-0.13,0.99
54,5p~5n,-0.21,0.44,0.02,0.54,0.86
55,8e~8b,-1.69,-0.7,0.03,-0.72,1.02
56,8e-neu~5k,,1.21,0.03,1.12,1.09
57,8f-neu~5m,,0.98,0.03,1.26,1.38
58,1b~1a,1.39,1.8,0.02,1.9,1.1
59,5a~5j,-0.32,-0.92,0.02,-1.09,1.01
60,5a~5n,0.05,-0.95,0.04,-0.97,1.04
61,5e~5a,-0.65,-0.29,0.02,-0.39,1.11
62,5e~5n,-0.6,-1.34,0.04,-1.36,0.88
63,5g~5a,0.05,0.73,0.02,0.53,1.19
64,5o~5m,-0.65,0.28,0.03,0.27,0.84
65,7~8a,-2.41,1.21,0.05,1.11,1.11
66,8a-neu~8a,,3.49,0.04,3.6,1.04
67,1b~5n,-0.77,-2.49,0.04,-2.57,1.02
68,5b~5j,-0.61,-0.98,0.02,-0.68,1.19
69,5b~5n,-0.24,-0.58,0.04,-0.56,1.04
70,5d~5m,-1.8,-1.22,0.02,-1.1,1.0
71,5h~5m,-2.64,-2.82,0.03,-2.87,1.02
72,5l~5e,-0.02,1.41,0.03,1.38,1.03
73,7~5j,-2.68,-2.24,0.03,-2.47,1.19
74,7~8a-neu,,-2.22,0.04,-2.49,1.15
75,8b~8a,1.12,1.12,0.02,1.37,1.28
76,8d~1a,3.94,3.12,0.05,2.52,1.38
77,8d~8f,0.68,-0.33,0.03,0.15,1.32
78,8e~8a,-0.57,0.85,0.03,0.65,1.32
79,8f~5m,-0.88,-2.06,0.04,-2.73,1.38
80,8f~8a,1.0,0.8,0.03,1.36,1.38
