,lig,EXP,Pred dG,Pred dG err
0,1a,-8.55,-8.58,0.28
1,5d,-10.89,-10.52,0.25
2,1b,-9.94,-10.17,0.28
3,5c,-9.96,-11.23,0.28
4,5h,-10.05,-12.09,0.28
5,5n,-10.71,-10.76,0.28
6,3a,-11.0,-12.54,0.3
7,3b,-11.52,-11.4,0.31
8,5m,-12.69,-11.94,0.26
9,7,-8.4,-8.68,0.28
10,5a,-10.76,-11.57,0.25
11,5j,-11.08,-11.38,0.28
12,5k,-10.96,-10.81,0.27
13,5b,-10.47,-12.35,0.25
14,5o,-12.04,-11.98,0.25
15,5e,-10.11,-9.61,0.27
16,5i,-12.08,-13.5,0.26
17,5p,-10.5,-11.06,0.29
18,5f,-10.26,-12.3,0.27
19,5l,-10.09,-12.76,0.29
20,5g,-10.81,-12.74,0.26
21,8a,-10.81,-7.75,0.28
22,8b,-11.93,-9.2,0.3
23,8d,-12.49,-9.5,0.31
24,8f,-11.81,-9.42,0.29
25,8c,-10.12,-8.45,0.32
26,8e,-10.24,-7.98,0.31
