,lig,EXP,Pred dG,Pred dG err
0,CHEMBL3402761_1,-12.28,-12.74,0.51
1,CHEMBL3402760_1,-12.28,-11.89,0.48
2,CHEMBL3402762_1,-12.28,-14.23,0.51
3,CHEMBL3402743_42,-10.06,-8.49,0.44
4,CHEMBL3402758_10,-10.91,-10.78,0.5
5,CHEMBL3402742_23,-10.42,-10.67,0.44
6,CHEMBL3402763_90,-9.61,-10.49,0.49
7,CHEMBL3402764_90,-9.61,-7.64,0.51
8,CHEMBL3402741_400,-8.73,-11.41,0.52
9,CHEMBL3402756_2_7,-11.69,-10.53,0.44
10,CHEMBL3402745_200,-9.14,-8.63,0.43
11,CHEMBL3402759_5_7,-11.25,-11.64,0.54
12,CHEMBL3402744_300,-8.9,-7.74,0.44
13,CHEMBL3402757_6_5,-11.17,-10.68,0.5
14,CHEMBL3402765_11-charged-pKa-8_1,-10.86,-9.22,0.45
15,CHEMBL3402752_30000,-6.17,-6.17,0.43
16,CHEMBL3402748_5300,-7.2,-7.55,0.45
17,CHEMBL3402747_3400,-7.46,-6.53,0.46
18,CHEMBL3402749_500,-8.6,-9.2,0.48
19,CHEMBL3402751_2100,-7.75,-7.01,0.48
20,CHEMBL3402755_4200,-7.34,-8.78,0.51
21,CHEMBL3402750_400,-8.73,-9.43,0.48
22,CHEMBL3402754_40,-10.09,-10.55,0.49
23,CHEMBL3402753_200,-9.14,-9.67,0.5
