,Pairs,EXP,FEP,FEP_err,CCC,CCC_err
0,CHEMBL3402761_1~CHEMBL3402760_1,0.0,0.33,0.06,0.81,1.75
1,CHEMBL3402761_1~CHEMBL3402762_1,0.0,-0.77,0.06,-1.43,1.75
2,CHEMBL3402762_1~CHEMBL3402760_1,0.0,2.94,0.04,2.24,1.48
3,CHEMBL3402743_42~CHEMBL3402760_1,-2.22,-3.49,0.06,-3.35,1.63
4,CHEMBL3402743_42~CHEMBL3402762_1,-2.22,-5.54,0.06,-5.59,1.75
5,CHEMBL3402758_10~CHEMBL3402760_1,-1.37,-0.81,0.03,-1.13,1.75
6,CHEMBL3402742_23~CHEMBL3402763_90,0.81,0.14,0.04,0.2,1.45
7,CHEMBL3402743_42~CHEMBL3402742_23,-0.36,-2.07,0.04,-2.1,1.45
8,CHEMBL3402743_42~CHEMBL3402758_10,-0.85,-2.44,0.06,-2.23,1.66
9,CHEMBL3402743_42~CHEMBL3402763_90,0.45,-2.1,0.06,-1.9,1.61
10,CHEMBL3402743_42~CHEMBL3402764_90,0.45,1.09,0.03,0.84,1.46
11,CHEMBL3402758_10~CHEMBL3402742_23,0.49,0.17,0.06,0.12,1.43
12,CHEMBL3402763_90~CHEMBL3402764_90,0.0,2.92,0.05,2.74,1.45
13,CHEMBL3402741_400~CHEMBL3402763_90,-0.88,0.98,0.04,0.84,1.32
14,CHEMBL3402741_400~CHEMBL3402764_90,-0.88,3.2,0.06,3.58,1.46
15,CHEMBL3402742_23~CHEMBL3402756_2_7,-1.27,0.31,0.07,0.08,1.43
16,CHEMBL3402745_200~CHEMBL3402742_23,-1.28,-2.27,0.06,-2.01,1.29
17,CHEMBL3402745_200~CHEMBL3402743_42,-0.92,-0.89,0.04,0.09,1.75
18,CHEMBL3402758_10~CHEMBL3402756_2_7,-0.78,-0.26,0.03,0.2,1.75
19,CHEMBL3402759_5_7~CHEMBL3402758_10,0.34,0.96,0.03,0.84,1.67
20,CHEMBL3402759_5_7~CHEMBL3402763_90,1.64,1.47,0.07,1.16,1.61
21,CHEMBL3402741_400~CHEMBL3402756_2_7,-2.96,0.95,0.08,0.71,1.46
22,CHEMBL3402744_300~CHEMBL3402756_2_7,-2.79,-2.14,0.05,-2.79,1.75
23,CHEMBL3402744_300~CHEMBL3402757_6_5,-2.27,-2.32,0.06,-2.91,1.69
24,CHEMBL3402745_200~CHEMBL3402756_2_7,-2.55,-2.42,0.05,-1.93,1.46
25,CHEMBL3402757_6_5~CHEMBL3402756_2_7,-0.52,0.29,0.02,0.12,1.69
26,CHEMBL3402759_5_7~CHEMBL3402757_6_5,0.08,0.49,0.03,0.92,1.67
27,CHEMBL3402765_11-charged-pKa-8_1~CHEMBL3402760_1,-1.42,-3.03,0.06,-2.62,1.3
28,CHEMBL3402765_11-charged-pKa-8_1~CHEMBL3402742_23,0.44,-1.02,0.06,-1.37,1.09
29,CHEMBL3402765_11-charged-pKa-8_1~CHEMBL3402743_42,0.8,1.15,0.06,0.73,1.4
30,CHEMBL3402765_11-charged-pKa-8_1~CHEMBL3402744_300,1.96,2.22,0.05,1.5,1.75
31,CHEMBL3402765_11-charged-pKa-8_1~CHEMBL3402745_200,1.72,-0.39,0.05,0.64,1.75
32,CHEMBL3402743_42~CHEMBL3402756_2_7,-1.63,-2.37,0.05,-2.03,1.18
33,CHEMBL3402765_11-charged-pKa-8_1~CHEMBL3402764_90,1.25,1.51,0.07,1.57,1.4
34,CHEMBL3402744_300~CHEMBL3402745_200,-0.24,-1.2,0.01,-0.86,1.36
35,CHEMBL3402744_300~CHEMBL3402752_30000,2.73,1.56,0.03,1.62,1.41
36,CHEMBL3402745_200~CHEMBL3402748_5300,1.94,1.35,0.03,1.11,1.3
37,CHEMBL3402745_200~CHEMBL3402752_30000,2.97,2.59,0.03,2.48,1.23
38,CHEMBL3402747_3400~CHEMBL3402744_300,-1.44,-1.11,0.03,-1.22,1.48
39,CHEMBL3402747_3400~CHEMBL3402749_500,-1.14,-2.58,0.03,-2.61,1.13
40,CHEMBL3402747_3400~CHEMBL3402751_2100,-0.29,-0.63,0.04,-0.47,1.3
41,CHEMBL3402747_3400~CHEMBL3402752_30000,1.29,0.3,0.04,0.4,1.27
42,CHEMBL3402747_3400~CHEMBL3402755_4200,0.12,-2.02,0.03,-2.16,1.48
43,CHEMBL3402748_5300~CHEMBL3402751_2100,-0.55,0.73,0.05,0.5,1.3
44,CHEMBL3402749_500~CHEMBL3402748_5300,1.4,1.77,0.02,1.63,1.13
45,CHEMBL3402750_400~CHEMBL3402748_5300,1.53,1.71,0.04,1.86,1.29
46,CHEMBL3402750_400~CHEMBL3402749_500,0.13,0.34,0.04,0.23,1.04
47,CHEMBL3402750_400~CHEMBL3402751_2100,0.98,2.38,0.02,2.36,1.16
48,CHEMBL3402752_30000~CHEMBL3402751_2100,-1.58,-0.95,0.04,-0.87,1.18
49,CHEMBL3402752_30000~CHEMBL3402754_40,-3.92,-4.33,0.03,-4.36,1.41
50,CHEMBL3402753_200~CHEMBL3402747_3400,1.68,3.1,0.03,3.08,1.38
